template,count,percentage,samples,suggested,confidence,label,notes
DHCPDISCOVER from <*> via eth1: network A_net: no free leases,15,0.75,"[""DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases"", ""DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases"", ""DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases""]",1,high,1,Auto-labeled (high confidence)
(root) CMD (run-parts /etc/cron.hourly),14,0.7000000000000001,"[""(root) CMD (run-parts /etc/cron.hourly)"", ""(root) CMD (run-parts /etc/cron.hourly)"", ""(root) CMD (run-parts /etc/cron.hourly)""]",1,high,1,Auto-labeled (high confidence)
RRD_update (/var/lib/ganglia/rrds/<*>.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),11,0.5499999999999999,"[""RRD_update (/var/lib/ganglia/rrds/C Nodes/cn304/pkts_out.rrd): illegal attempt to update using time 1131563037 when last update time is 1131563037 (minimum one second step)"", ""RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time 1131563089 when last update time is 1131563089 (minimum one second step)"", ""RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time 1131563117 when last update time is 1131563117 (minimum one second step)""]",0,high,0,Auto-labeled (high confidence)
"PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>",11,0.5499999999999999,"[""PCI interrupt 0000:00:02.0[A] -> GSI 16 (level, low) -> IRQ 169"", ""PCI interrupt 0000:00:04.0[A] -> GSI 16 (level, low) -> IRQ 169"", ""PCI interrupt 0000:00:05.0[A] -> GSI 16 (level, low) -> IRQ 169""]",0,high,0,Auto-labeled (high confidence)
"<*>: from=root, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=#<*>#@localhost",10,0.5,"[""jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost"", ""jA9J1Wd7019391: from=root, size=1594553, class=0, nrcpts=1, msgid=<200511091901.jA9J1Wd7019391@cadmin1>, relay=#7#@localhost"", ""jA9J1WSU011176: from=root, size=1593894, class=0, nrcpts=1, msgid=<200511091901.jA9J1WSU011176@badmin1>, relay=#7#@localhost""]",1,high,1,Auto-labeled (high confidence)
"<*>: to=root, ctladdr=root (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>.<*>.<*>, stat=Deferred: Connection refused by [<*>]",10,0.5,"[""jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]"", ""jA9J1Wd7019391: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1624553, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]"", ""jA9J1WSU011176: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1623894, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]""]",1,high,1,Auto-labeled (high confidence)
PCI Interrupt Routing Table [<*>],10,0.5,"[""PCI Interrupt Routing Table [\\_SB_.PCI0.PALO.DOBA._PRT]"", ""PCI Interrupt Routing Table [\\_SB_.PCI0.PALO.DOBB._PRT]"", ""PCI Interrupt Routing Table [\\_SB_.PCI0.PALO._PRT]""]",0,high,0,Auto-labeled (high confidence)
unable to qualify my own domain name (<*>) -- using short name,10,0.5,"[""unable to qualify my own domain name (eadmin1) -- using short name"", ""unable to qualify my own domain name (badmin1) -- using short name"", ""unable to qualify my own domain name (cadmin1) -- using short name""]",0,high,0,Auto-labeled (high confidence)
DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,9,0.44999999999999996,"[""DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251."", ""DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251."", ""DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.""]",1,high,1,Auto-labeled (high confidence)
<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,7,0.35000000000000003,"[""DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000"", ""FADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd6b0"", ""HPET (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd81c""]",0,high,0,Auto-labeled (high confidence)
Wait for ready failed before probe !,6,0.3,"[""Wait for ready failed before probe !"", ""Wait for ready failed before probe !"", ""Wait for ready failed before probe !""]",1,high,1,Auto-labeled (high confidence)
Registered protocol family <*>,5,0.25,"[""Registered protocol family 1"", ""Registered protocol family 16"", ""Registered protocol family 17""]",0,high,0,Auto-labeled (high confidence)
"Trace cache: <*> uops, L1 D cache: <*>",5,0.25,"[""Trace cache: 12K uops, L1 D cache: 16K"", ""Trace cache: 12K uops, L1 D cache: 16K"", ""Trace cache: 12K uops, L1 D cache: 16K""]",0,high,0,Auto-labeled (high confidence)
(root) CMD (/projects/tbird/temps/get_temps <*>),5,0.25,"[""(root) CMD (/projects/tbird/temps/get_temps a)"", ""(root) CMD (/projects/tbird/temps/get_temps b)"", ""(root) CMD (/projects/tbird/temps/get_temps c)""]",1,high,1,Auto-labeled (high confidence)
Physical Processor ID: <*>,5,0.25,"[""Physical Processor ID: 0"", ""Physical Processor ID: 0"", ""Physical Processor ID: 0""]",0,high,0,Auto-labeled (high confidence)
L2 cache: <*>K,5,0.25,"[""L2 cache: 2048K"", ""L2 cache: 2048K"", ""L2 cache: 2048K""]",0,high,0,Auto-labeled (high confidence)
DHCPOFFER on <*> to <*> via eth1,5,0.25,"[""DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1"", ""DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1"", ""DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1""]",0,high,0,Auto-labeled (high confidence)
DHCPDISCOVER from <*> via eth1,5,0.25,"[""DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1"", ""DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1"", ""DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1""]",1,high,1,Auto-labeled (high confidence)
My unqualified host name (<*>) unknown; sleeping for retry,5,0.25,"[""My unqualified host name (eadmin1) unknown; sleeping for retry"", ""My unqualified host name (aadmin1) unknown; sleeping for retry"", ""My unqualified host name (badmin1) unknown; sleeping for retry""]",1,high,1,Auto-labeled (high confidence)
"PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, disabled.",5,0.25,"[""PCI Interrupt Link [LNKD] (IRQs 3 4 5 6 7 10 11 12) *0, disabled."", ""PCI Interrupt Link [LNKE] (IRQs 3 4 5 6 7 10 11 12) *0, disabled."", ""PCI Interrupt Link [LNKF] (IRQs 3 4 5 6 7 10 11 12) *0, disabled.""]",5,low,5,
LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),4,0.2,"[""LAPIC (acpi_id[0x01] lapic_id[0x00] enabled)"", ""LAPIC (acpi_id[0x02] lapic_id[0x06] enabled)"", ""LAPIC (acpi_id[0x03] lapic_id[0x01] enabled)""]",1,high,0,Auto-labeled (high confidence)
Processor [CPU<*>] (supports C1),4,0.2,"[""Processor [CPU0] (supports C1)"", ""Processor [CPU1] (supports C1)"", ""Processor [CPU2] (supports C1)""]",0,high,0,Auto-labeled (high confidence)
LAPIC_NMI (acpi_id[<*>] high edge lint[<*>]),4,0.2,"[""LAPIC_NMI (acpi_id[0x01] high edge lint[0x1])"", ""LAPIC_NMI (acpi_id[0x02] high edge lint[0x1])"", ""LAPIC_NMI (acpi_id[0x03] high edge lint[0x1])""]",0,high,0,Auto-labeled (high confidence)
(C) <*>-<*> Netfilter core team,4,0.2,"[""(C) 2000-2002 Netfilter core team"", ""(C) 2000-2002 Netfilter core team"", ""(C) 2000-2002 Netfilter core team""]",0,high,0,Auto-labeled (high confidence)
Local disconnected: Connection closed.,3,0.15,"[""Local disconnected: Connection closed."", ""Local disconnected: Connection closed."", ""Local disconnected: Connection closed.""]",1,high,0,Auto-labeled (high confidence)
DHCPACK on <*> to <*> via eth1,3,0.15,"[""DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1"", ""DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1"", ""DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1""]",0,high,0,Auto-labeled (high confidence)
connection lost: 'Connection closed.',3,0.15,"[""connection lost: 'Connection closed.'"", ""connection lost: 'Connection closed.'"", ""connection lost: 'Connection closed.'""]",1,high,4,Auto-labeled (high confidence)
mounted filesystem with ordered data mode.,3,0.15,"[""mounted filesystem with ordered data mode."", ""mounted filesystem with ordered data mode."", ""mounted filesystem with ordered data mode.""]",5,high,0,Auto-labeled (high confidence)
DHCPREQUEST for <*> (<*>) from <*> via eth1,3,0.15,"[""DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1"", ""DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1"", ""DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1""]",1,high,0,Auto-labeled (high confidence)
IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),3,0.15,"[""IOAPIC (id[0x08] address[0xfec00000] gsi_base[0])"", ""IOAPIC (id[0x09] address[0xfec80000] gsi_base[32])"", ""IOAPIC (id[0x0a] address[0xfec83000] gsi_base[64])""]",1,high,1,Auto-labeled (high confidence)
"apic_id <*>, version <*>, address <*>, GSI <*>",3,0.15,"[""apic_id 8, version 32, address 0xfec00000, GSI 0-23"", ""apic_id 9, version 32, address 0xfec80000, GSI 32-55"", ""apic_id 10, version 32, address 0xfec83000, GSI 64-87""]",1,high,1,Auto-labeled (high confidence)
IRQ<*> used by override.,3,0.15,"[""IRQ0 used by override."", ""IRQ2 used by override."", ""IRQ9 used by override.""]",5,high,5,Auto-labeled (high confidence)
not allocating divert_blk for non-ethernet device <*>,2,0.1,"[""not allocating divert_blk for non-ethernet device lo"", ""not allocating divert_blk for non-ethernet device sit0""]",0,high,0,Auto-labeled (high confidence)
Autodetecting RAID arrays.,2,0.1,"[""Autodetecting RAID arrays."", ""Autodetecting RAID arrays.""]",1,low,0,
PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>,2,0.1,"[""PCI Interrupt Link [LNKA] (IRQs 3 4 5 6 7 10 11 12) *14"", ""PCI Interrupt Link [LNKC] (IRQs 3 4 5 6 7 10 11 12) *15""]",0,high,0,Auto-labeled (high confidence)
allocating divert_blk for eth<*>,2,0.1,"[""allocating divert_blk for eth0"", ""allocating divert_blk for eth1""]",1,high,0,Auto-labeled (high confidence)
eth<*>: <*>: Intel(R) PRO/<*> Network Connection,2,0.1,"[""eth0: e1000_probe: Intel(R) PRO/1000 Network Connection"", ""eth1: e1000_probe: Intel(R) PRO/1000 Network Connection""]",1,high,0,Auto-labeled (high confidence)
... autorun DONE.,2,0.1,"[""... autorun DONE."", ""... autorun DONE.""]",0,high,0,Auto-labeled (high confidence)
Now running on #<*>#'s privileges.,2,0.1,"[""Now running on #29#'s privileges."", ""Now running on #29#'s privileges.""]",0,high,0,Auto-labeled (high confidence)
succeeded,2,0.1,"[""succeeded"", ""succeeded""]",0,high,0,Auto-labeled (high confidence)
"connection from ""#<*>#""",2,0.1,"[""connection from \""#28#\"""", ""connection from \""#28#\""""]",1,high,0,Auto-labeled (high confidence)
"User #<*>#, coming from #<*>#, authenticated.",2,0.1,"[""User #29#, coming from #30#, authenticated."", ""User #29#, coming from #30#, authenticated.""]",1,high,0,Auto-labeled (high confidence)
<*> (Release Date: <*> <*>),2,0.1,"[""#38#-rh1 (Release Date: Fri Dec 10 19:02:14 EST 2004)"", ""#39# (Release Date: Mon Sep 27 22:15:07 EDT 2004)""]",0,high,0,Auto-labeled (high confidence)
autorun ...,2,0.1,"[""autorun ..."", ""autorun ...""]",1,low,0,
START: tftp pid=<*> from=<*>,1,0.05,"[""START: tftp pid=16563 from=10.100.4.251""]",0,high,0,Auto-labeled (high confidence)
RSDP (<*> DELL ) @ <*>,1,0.05,"[""RSDP (v000 DELL ) @ 0x00000000000fd650""]",0,high,0,Auto-labeled (high confidence)
Subsystem revision <*>,1,0.05,"[""Subsystem revision 20040816""]",0,high,0,Auto-labeled (high confidence)
<*> <*>.<*> <*>/<*>/<*> <*>:<*>:<*> ak Exp $,1,0.05,"[""sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $""]",0,high,0,Auto-labeled (high confidence)
"routing cache hash table of <*> buckets, <*>Kbytes",1,0.05,"[""routing cache hash table of 65536 buckets, 1024Kbytes""]",0,high,0,Auto-labeled (high confidence)
PCI Hot Plug PCI Core version: <*>.<*>,1,0.05,"[""PCI Hot Plug PCI Core version: 0.5""]",0,high,0,Auto-labeled (high confidence)
colour VGA+ <*>,1,0.05,"[""colour VGA+ 80x25""]",0,high,0,Auto-labeled (high confidence)
"root=LABEL=/ initrd=/<*> console=<*> console=<*>,<*> fastboot BOOT_IMAGE=<*>",1,0.05,"[""root=LABEL=/ initrd=/x86_64/initrd-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr-admin console=tty0 console=ttyS0,19200 fastboot BOOT_IMAGE=/x86_64/vmlinuz-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr""]",1,high,0,Auto-labeled (high confidence)
Using software bounce buffering for IO (SWIOTLB),1,0.05,"[""Using software bounce buffering for IO (SWIOTLB)""]",1,high,0,Auto-labeled (high confidence)
Probing PCI hardware (bus <*>),1,0.05,"[""Probing PCI hardware (bus 00)""]",0,high,0,Auto-labeled (high confidence)
Transparent bridge - <*>,1,0.05,"[""Transparent bridge - 0000:00:1e.0""]",0,high,0,Auto-labeled (high confidence)
Using ACPI for IRQ routing,1,0.05,"[""Using ACPI for IRQ routing""]",5,high,5,Auto-labeled (high confidence)
Using MMCONFIG at <*>,1,0.05,"[""Using MMCONFIG at e0000000""]",0,high,0,Auto-labeled (high confidence)
Using configuration type <*>,1,0.05,"[""Using configuration type 1""]",0,high,0,Auto-labeled (high confidence)
Compressed image found at block <*>,1,0.05,"[""Compressed image found at block 0""]",0,high,0,Auto-labeled (high confidence)
Using IOAPIC for interrupt routing,1,0.05,"[""Using IOAPIC for interrupt routing""]",5,high,5,Auto-labeled (high confidence)
Intel(R) Xeon(TM) CPU <*> stepping <*>,1,0.05,"[""Intel(R) Xeon(TM) CPU 3.60GHz stepping 03""]",1,high,1,Auto-labeled (high confidence)
INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl),1,0.05,"[""INT_SRC_OVR (bus 0 bus_irq 0 global_irq 2 dfl dfl)""]",0,high,0,Auto-labeled (high confidence)
INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level),1,0.05,"[""INT_SRC_OVR (bus 0 bus_irq 9 global_irq 9 high level)""]",0,high,0,Auto-labeled (high confidence)
Interpreter enabled,1,0.05,"[""Interpreter enabled""]",1,medium,0,
HPET id: <*> base: <*>,1,0.05,"[""HPET id: 0xffffffff base: 0xfed00000""]",0,high,5,Auto-labeled (high confidence)
CentOS-<*> (Kernel Module GPG key),1,0.05,"[""CentOS-4 (Kernel Module GPG key)""]",0,high,0,Auto-labeled (high confidence)
(supports <*>),1,0.05,"[""(supports S0 S4 S5)""]",0,high,0,Auto-labeled (high confidence)
PCI Root Bridge [PCI0] (<*>:<*>),1,0.05,"[""PCI Root Bridge [PCI0] (00:00)""]",0,high,0,Auto-labeled (high confidence)
PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> *<*> <*>),1,0.05,"[""PCI Interrupt Link [LNKB] (IRQs 3 4 5 6 7 10 *11 12)""]",0,high,0,Auto-labeled (high confidence)
Local APIC address <*>,1,0.05,"[""Local APIC address 0xfee00000""]",1,high,0,Auto-labeled (high confidence)
Power Button (FF) [PWRF],1,0.05,"[""Power Button (FF) [PWRF]""]",1,low,0,
kernel time sync enabled <*>,1,0.05,"[""kernel time sync enabled 0001""]",0,high,0,Auto-labeled (high confidence)
Received SNMP packet(s) from #<*>#,1,0.05,"[""Received SNMP packet(s) from #34#""]",1,high,0,Auto-labeled (high confidence)
kernel time sync disabled <*>,1,0.05,"[""kernel time sync disabled 0041""]",0,high,0,Auto-labeled (high confidence)
time reset +<*>.<*> s,1,0.05,"[""time reset +0.182379 s""]",0,high,0,Auto-labeled (high confidence)
<*>.<*>.<*>-ioctl (<*><*><*>) initialised: #<*>#@#<*>#,1,0.05,"[""4.1.0-ioctl (2003-12-10) initialised: #36#@#37#""]",0,high,0,Auto-labeled (high confidence)
passed.,1,0.05,"[""passed.""]",1,low,0,
initializing netlink socket (disabled),1,0.05,"[""initializing netlink socket (disabled)""]",5,high,5,Auto-labeled (high confidence)
initialized,1,0.05,"[""initialized""]",0,high,0,Auto-labeled (high confidence)
PE/PV Model: <*> SCSI BP Rev: <*>.<*>,1,0.05,"[""PE/PV Model: 1x2 SCSI BP Rev: 1.0""]",0,high,0,Auto-labeled (high confidence)
MegaRAID Model: LD <*> RAID1 <*> Rev: <*>,1,0.05,"[""MegaRAID Model: LD 0 RAID1 139G Rev: 516A""]",0,high,0,Auto-labeled (high confidence)
Mounted root (ext2 filesystem).,1,0.05,"[""Mounted root (ext2 filesystem).""]",1,high,0,Auto-labeled (high confidence)
Disk quotas dquot_<*>.<*>.<*>,1,0.05,"[""Disk quotas dquot_6.5.1""]",1,high,0,Auto-labeled (high confidence)
Processor ANSI SCSI revision: <*>,1,0.05,"[""Processor ANSI SCSI revision: 02""]",0,high,0,Auto-labeled (high confidence)
Direct-Access ANSI SCSI revision: <*>,1,0.05,"[""Direct-Access ANSI SCSI revision: 02""]",0,high,0,Auto-labeled (high confidence)
Hash tables configured (established <*> bind <*>),1,0.05,"[""Hash tables configured (established 262144 bind 65536)""]",0,high,0,Auto-labeled (high confidence)
Unregistering netfilter hooks,1,0.05,"[""Unregistering netfilter hooks""]",0,high,0,Auto-labeled (high confidence)
Starting in permissive mode,1,0.05,"[""Starting in permissive mode""]",5,high,5,Auto-labeled (high confidence)
Registering netfilter hooks,1,0.05,"[""Registering netfilter hooks""]",0,high,0,Auto-labeled (high confidence)
Initializing.,1,0.05,"[""Initializing.""]",0,high,0,Auto-labeled (high confidence)
Disabled at runtime.,1,0.05,"[""Disabled at runtime.""]",5,high,5,Auto-labeled (high confidence)
"md driver <*>.<*>.<*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>",1,0.05,"[""md driver 0.90.0 MAX_MD_DEVS=256, MD_SB_DISKS=27""]",1,high,1,Auto-labeled (high confidence)
fw version:[<*>] bios version:[<*>],1,0.05,"[""fw version:[516A] bios version:[H418]""]",0,high,0,Auto-labeled (high confidence)
probe new device <*>:<*>:<*>:<*>: bus <*>:slot <*>:func <*>,1,0.05,"[""probe new device 0x1028:0x0013:0x1028:0x016c: bus 2:slot 14:func 0""]",0,high,0,Auto-labeled (high confidence)
PS/<*> mouse device common for all mice,1,0.05,"[""PS/2 mouse device common for all mice""]",1,high,1,Auto-labeled (high confidence)
v<*>.<*> (<*>),1,0.05,"[""v2.0 (20020519)""]",0,high,0,Auto-labeled (high confidence)
rpc.statd startup succeeded,1,0.05,"[""rpc.statd startup succeeded""]",0,high,0,Auto-labeled (high confidence)
portmap startup succeeded,1,0.05,"[""portmap startup succeeded""]",0,high,0,Auto-labeled (high confidence)
Starting ts_fixup: succeeded,1,0.05,"[""Starting ts_fixup: succeeded""]",0,high,0,Auto-labeled (high confidence)
Version <*>.<*>.<*> Starting,1,0.05,"[""Version 1.0.6 Starting""]",0,high,0,Auto-labeled (high confidence)
RNG not detected,1,0.05,"[""RNG not detected""]",1,medium,6,
eth0: <*>: NIC Link is Up <*> Mbps Full Duplex,1,0.05,"[""eth0: e1000_watchdog: NIC Link is Up 1000 Mbps Full Duplex""]",0,high,0,Auto-labeled (high confidence)
no floppy controllers found,1,0.05,"[""no floppy controllers found""]",0,high,0,Auto-labeled (high confidence)
Installing public key data,1,0.05,"[""Installing public key data""]",0,high,0,Auto-labeled (high confidence)
Unknown cmd fd(<*>) cmd(<*>){<*>} arg(<*>) on /dev/sda,1,0.05,"[""Unknown cmd fd(5) cmd(80081272){00} arg(ffffda44) on /dev/sda""]",1,high,5,Auto-labeled (high confidence)
Assuming <*>MHz system bus speed for PIO modes; override with idebus=xx,1,0.05,"[""Assuming 33MHz system bus speed for PIO modes; override with idebus=xx""]",0,high,5,Auto-labeled (high confidence)
v<*>.<*>:USB HID core driver,1,0.05,"[""v2.0:USB HID core driver""]",0,high,0,Auto-labeled (high confidence)
Registering secondary module capability,1,0.05,"[""Registering secondary module capability""]",0,high,0,Auto-labeled (high confidence)
sda1 sda2 sda3 sda4,1,0.05,"[""sda1 sda2 sda3 sda4""]",0,high,0,Auto-labeled (high confidence)
assuming drive cache: write through,1,0.05,"[""assuming drive cache: write through""]",1,high,5,Auto-labeled (high confidence)
asking for cache data failed,1,0.05,"[""asking for cache data failed""]",1,medium,6,
scanning scsi channel <*> [virtual] for logical drives,1,0.05,"[""scanning scsi channel 1 [virtual] for logical drives""]",0,high,0,Auto-labeled (high confidence)
scanning scsi channel <*> [Phy <*>] for non-raid devices,1,0.05,"[""scanning scsi channel 0 [Phy 0] for non-raid devices""]",0,high,0,Auto-labeled (high confidence)
LSI Logic MegaRAID driver,1,0.05,"[""LSI Logic MegaRAID driver""]",0,high,0,Auto-labeled (high confidence)
"<*> AUX port at <*>,<*> irq <*>",1,0.05,"[""i8042 AUX port at 0x60,0x64 irq 12""]",1,high,0,Auto-labeled (high confidence)
Creating Topspin /dev entries:,1,0.05,"[""Creating Topspin /dev entries:""]",0,high,0,Auto-labeled (high confidence)
Using HPET based timekeeping.,1,0.05,"[""Using HPET based timekeeping.""]",0,high,0,Auto-labeled (high confidence)
Using <*>.<*> MHz HPET timer.,1,0.05,"[""Using 14.318180 MHz HPET timer.""]",0,high,0,Auto-labeled (high confidence)
registered new driver hiddev,1,0.05,"[""registered new driver hiddev""]",0,high,0,Auto-labeled (high confidence)
Detected <*>.<*> MHz processor.,1,0.05,"[""Detected 3591.360 MHz processor.""]",0,high,0,Auto-labeled (high confidence)
"<*> KBD port at <*>,<*> irq <*>",1,0.05,"[""i8042 KBD port at 0x60,0x64 irq 1""]",1,high,1,Auto-labeled (high confidence)
syslog-ng startup succeeded,1,0.05,"[""syslog-ng startup succeeded""]",0,high,0,Auto-labeled (high confidence)
