template,count,percentage,samples,suggested,confidence,label,notes
Client attempting to establish new session at /<*>:<*>,41,2.0500000000000003,"[""Client attempting to establish new session at /10.10.34.19:33425"", ""Client attempting to establish new session at /10.10.34.11:50286"", ""Client attempting to establish new session at /10.10.34.11:50301""]",1,high,0,Auto-labeled (high confidence)
"Expiring session <*>, timeout of <*>ms exceeded",40,2.0,"[""Expiring session 0x24ede63a01b003b, timeout of 10000ms exceeded"", ""Expiring session 0x34ede65503f0036, timeout of 10000ms exceeded"", ""Expiring session 0x34ede65503f005c, timeout of 10000ms exceeded""]",1,high,3,Auto-labeled (high confidence)
Connection request from old client /<*>:<*>; will be dropped if server is in r-o mode,39,1.95,"[""Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode"", ""Connection request from old client /10.10.34.20:56418; will be dropped if server is in r-o mode"", ""Connection request from old client /10.10.34.42:34164; will be dropped if server is in r-o mode""]",1,high,0,Auto-labeled (high confidence)
Notification time out: <*>,37,1.8499999999999999,"[""Notification time out: 3200"", ""Notification time out: 60000"", ""Notification time out: 60000""]",0,high,0,Auto-labeled (high confidence)
caught end of stream exception,37,1.8499999999999999,"[""caught end of stream exception"", ""caught end of stream exception"", ""caught end of stream exception""]",1,high,1,Auto-labeled (high confidence)
******* GOODBYE /<*>:<*> ********,19,0.95,"[""******* GOODBYE /10.10.34.12:35276 ********"", ""******* GOODBYE /10.10.34.11:52264 ********"", ""******* GOODBYE /10.10.34.11:52308 ********""]",0,high,0,Auto-labeled (high confidence)
Unexpected exception causing shutdown while sock still open,12,0.6,"[""Unexpected exception causing shutdown while sock still open"", ""Unexpected exception causing shutdown while sock still open"", ""Unexpected exception causing shutdown while sock still open""]",0,high,0,Auto-labeled (high confidence)
Server environment:<*>,11,0.5499999999999999,"[""Server environment:user.dir=/"", ""Server environment:host.name=mesos-master-1"", ""Server environment:java.vendor=Oracle Corporation""]",1,high,1,Auto-labeled (high confidence)
"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",5,0.25,"[""Notification: 2 (n.leader), 0xb00000084 (n.zxid), 0x2 (n.round), LOOKING (n.state), 1 (n.sid), 0xb (n.peerEPoch), LOOKING (my state)"", ""Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)"", ""Notification: 3 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)""]",1,high,1,Auto-labeled (high confidence)
LOOKING,4,0.2,"[""LOOKING"", ""LOOKING"", ""LOOKING""]",0,medium,0,
Closed socket connection for client /<*>:<*> (no session established for client),4,0.2,"[""Closed socket connection for client /10.10.34.11:56471 (no session established for client)"", ""Closed socket connection for client /10.10.34.12:36401 (no session established for client)"", ""Closed socket connection for client /10.10.34.13:54265 (no session established for client)""]",1,high,4,Auto-labeled (high confidence)
Client attempting to renew session <*> at /<*>:<*>,3,0.15,"[""Client attempting to renew session 0x24ed93119420016 at /10.10.34.13:37115"", ""Client attempting to renew session 0x14f05578bd8001b at /10.10.34.20:56374"", ""Client attempting to renew session 0x24f0557806a0020 at /10.10.34.17:55969""]",1,high,0,Auto-labeled (high confidence)
autopurge.purgeInterval set to <*>,3,0.15,"[""autopurge.purgeInterval set to 0"", ""autopurge.purgeInterval set to 0"", ""autopurge.purgeInterval set to 0""]",5,high,5,Auto-labeled (high confidence)
Revalidating client: <*>,3,0.15,"[""Revalidating client: 0x14f05578bd80018"", ""Revalidating client: 0x14f05578bd80013"", ""Revalidating client: 0x24f0557806a001c""]",1,high,0,Auto-labeled (high confidence)
Exception causing close of session <*> due to java.io.IOException: ZooKeeperServer not running,3,0.15,"[""Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running"", ""Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running"", ""Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running""]",0,low,2,
"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)",3,0.15,"[""Notification: 3 (n.leader), 0x10000006b (n.zxid), 0x2 (n.round), LOOKING (n.state), 3 (n.sid), 0x1 (n.peerEPoch), LEADING (my state)"", ""Notification: 1 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 1 (n.sid), 0xb (n.peerEPoch), LEADING (my state)"", ""Notification: 1 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 1 (n.sid), 0xb (n.peerEPoch), LEADING (my state)""]",1,high,0,Auto-labeled (high confidence)
minSessionTimeout set to <*>,2,0.1,"[""minSessionTimeout set to -1"", ""minSessionTimeout set to -1""]",5,high,5,Auto-labeled (high confidence)
Snapshotting: <*> to <*>,2,0.1,"[""Snapshotting: 0x300000dcd to /var/lib/zookeeper/version-2/snapshot.300000dcd"", ""Snapshotting: 0x50000062e to /var/lib/zookeeper/version-2/snapshot.50000062e""]",0,high,0,Auto-labeled (high confidence)
FOLLOWING,2,0.1,"[""FOLLOWING"", ""FOLLOWING""]",0,medium,0,
Getting a snapshot from leader,2,0.1,"[""Getting a snapshot from leader"", ""Getting a snapshot from leader""]",0,high,0,Auto-labeled (high confidence)
FOLLOWING - LEADER ELECTION TOOK - <*>,2,0.1,"[""FOLLOWING - LEADER ELECTION TOOK - 49"", ""FOLLOWING - LEADER ELECTION TOOK - 238""]",0,high,0,Auto-labeled (high confidence)
Unexpected Exception:,1,0.05,"[""Unexpected Exception:""]",0,high,0,Auto-labeled (high confidence)
My election bind port: <*>/<*>:<*>,1,0.05,"[""My election bind port: 0.0.0.0/0.0.0.0:3888""]",1,high,1,Auto-labeled (high confidence)
"New election. My id =  <*>, proposed zxid=<*>",1,0.05,"[""New election. My id =  1, proposed zxid=0x700000000""]",0,high,0,Auto-labeled (high confidence)
tickTime set to <*>,1,0.05,"[""tickTime set to 2000""]",5,high,5,Auto-labeled (high confidence)
"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)",1,0.05,"[""Notification: 3 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 3 (n.sid), 0xb (n.peerEPoch), FOLLOWING (my state)""]",1,high,1,Auto-labeled (high confidence)
autopurge.snapRetainCount set to <*>,1,0.05,"[""autopurge.snapRetainCount set to 3""]",5,high,5,Auto-labeled (high confidence)
"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LEADING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",1,0.05,"[""Notification: 3 (n.leader), 0x700000197 (n.zxid), 0x1 (n.round), LEADING (n.state), 3 (n.sid), 0x7 (n.peerEPoch), LOOKING (my state)""]",1,high,1,Auto-labeled (high confidence)
"Have smaller server identifier, so dropping the connection: (<*>, <*>)",1,0.05,"[""Have smaller server identifier, so dropping the connection: (2, 1)""]",0,high,0,Auto-labeled (high confidence)
Follower sid: <*> : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@<*>,1,0.05,"[""Follower sid: 3 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4""]",1,high,1,Auto-labeled (high confidence)
Starting quorum peer,1,0.05,"[""Starting quorum peer""]",1,high,1,Auto-labeled (high confidence)
Got user-level KeeperException when processing sessionid:<*> type:create cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:KeeperErrorCode = NodeExists for <*>,1,0.05,"[""Got user-level KeeperException when processing sessionid:0x34ed93485090001 type:create cxid:0x55b8bb0f zxid:0x100000010 txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper""]",0,high,0,Auto-labeled (high confidence)
Have quorum of supporters; starting up and setting last processed zxid: <*>,1,0.05,"[""Have quorum of supporters; starting up and setting last processed zxid: 0xb00000000""]",0,high,0,Auto-labeled (high confidence)
maxSessionTimeout set to <*>,1,0.05,"[""maxSessionTimeout set to -1""]",5,high,5,Auto-labeled (high confidence)
"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)",1,0.05,"[""Notification: 2 (n.leader), 0xa0000009a (n.zxid), 0x1 (n.round), FOLLOWING (n.state), 1 (n.sid), 0xa (n.peerEPoch), LEADING (my state)""]",1,high,1,Auto-labeled (high confidence)
shutdown of request processor complete,1,0.05,"[""shutdown of request processor complete""]",0,high,0,Auto-labeled (high confidence)
Reading snapshot <*>,1,0.05,"[""Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084""]",0,high,0,Auto-labeled (high confidence)
First is <*>,1,0.05,"[""First is 0x0""]",0,high,0,Auto-labeled (high confidence)
Sending DIFF,1,0.05,"[""Sending DIFF""]",0,low,0,
"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)",1,0.05,"[""Notification: 3 (n.leader), 0x100001564 (n.zxid), 0x3 (n.round), FOLLOWING (n.state), 3 (n.sid), 0x2 (n.peerEPoch), FOLLOWING (my state)""]",1,high,0,Auto-labeled (high confidence)
