template,count,percentage,samples,suggested,confidence,label,notes
task_<*> Task Transitioned from SCHEDULED to RUNNING,10,0.5,"[""task_1445144423722_0020_m_000000 Task Transitioned from SCHEDULED to RUNNING"", ""task_1445144423722_0020_m_000001 Task Transitioned from SCHEDULED to RUNNING"", ""task_1445144423722_0020_m_000002 Task Transitioned from SCHEDULED to RUNNING""]",0,high,0,Auto-labeled (high confidence)
JVM with ID: jvm_<*> given task: <*>_<*>,10,0.5,"[""JVM with ID: jvm_1445144423722_0020_m_000002 given task: attempt_1445144423722_0020_m_000000_0"", ""JVM with ID: jvm_1445144423722_0020_m_000003 given task: attempt_1445144423722_0020_m_000001_0"", ""JVM with ID: jvm_1445144423722_0020_m_000004 given task: attempt_1445144423722_0020_m_000002_0""]",1,high,1,Auto-labeled (high confidence)
Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,9,0.44999999999999996,"[""Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler"", ""Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher"", ""Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher""]",1,high,1,Auto-labeled (high confidence)
Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,5,0.25,"[""Before Scheduling: PendingReds:1 ScheduledMaps:10 ScheduledReds:0 AssignedMaps:0 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:0 ContRel:0 HostLocal:0 RackLocal:0"", ""Before Scheduling: PendingReds:1 ScheduledMaps:0 ScheduledReds:0 AssignedMaps:10 AssignedReds:0 CompletedMaps:1 CompletedReds:0 ContAlloc:11 ContRel:1 HostLocal:7 RackLocal:3"", ""Before Scheduling: PendingReds:0 ScheduledMaps:1 ScheduledReds:1 AssignedMaps:10 AssignedReds:0 CompletedMaps:1 CompletedReds:0 ContAlloc:11 ContRel:1 HostLocal:7 RackLocal:3""]",1,high,1,Auto-labeled (high confidence)
Diagnostics report from attempt_<*>: Error: java.net.NoRouteToHostException: No Route to Host from  MININT-<*>/<*> to <*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,4,0.2,"[""Diagnostics report from attempt_1445144423722_0020_m_000002_0: Error: java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost"", ""Diagnostics report from attempt_1445144423722_0020_m_000002_0: Error: java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost"", ""Diagnostics report from attempt_1445144423722_0020_m_000001_0: Error: java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost""]",1,high,1,Auto-labeled (high confidence)
Default file system [hdfs://<*>:<*>],3,0.15,"[""Default file system [hdfs://msra-sa-41:9000]"", ""Default file system [hdfs://msra-sa-41:9000]"", ""Default file system [hdfs://msra-sa-41:9000]""]",5,high,5,Auto-labeled (high confidence)
KILLING attempt_<*>,3,0.15,"[""KILLING attempt_1445144423722_0020_m_000003_0"", ""KILLING attempt_1445144423722_0020_m_000002_0"", ""KILLING attempt_1445144423722_0020_m_000001_0""]",1,high,1,Auto-labeled (high confidence)
Task: attempt_<*> - exited : java.net.NoRouteToHostException: No Route to Host from  MININT-<*>/<*> to <*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost,2,0.1,"[""Task: attempt_1445144423722_0020_m_000002_0 - exited : java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost"", ""Task: attempt_1445144423722_0020_m_000001_0 - exited : java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost""]",1,high,1,Auto-labeled (high confidence)
Received completed container container_<*>,2,0.1,"[""Received completed container container_1445144423722_0020_01_000012"", ""Received completed container container_1445144423722_0020_01_000005""]",0,high,0,Auto-labeled (high confidence)
attempt_<*> TaskAttempt Transitioned from RUNNING to FAIL_CONTAINER_CLEANUP,2,0.1,"[""attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from RUNNING to FAIL_CONTAINER_CLEANUP"", ""attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from RUNNING to FAIL_CONTAINER_CLEANUP""]",1,high,1,Auto-labeled (high confidence)
attempt_<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP,2,0.1,"[""attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP"", ""attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP""]",1,high,1,Auto-labeled (high confidence)
Processing the event EventType: TASK_ABORT,2,0.1,"[""Processing the event EventType: TASK_ABORT"", ""Processing the event EventType: TASK_ABORT""]",1,high,1,Auto-labeled (high confidence)
Starting Socket Reader #<*> for port <*>,2,0.1,"[""Starting Socket Reader #1 for port 62260"", ""Starting Socket Reader #1 for port 62270""]",1,high,1,Auto-labeled (high confidence)
IPC Server listener on <*>: starting,2,0.1,"[""IPC Server listener on 62260: starting"", ""IPC Server listener on 62270: starting""]",1,high,1,Auto-labeled (high confidence)
IPC Server Responder: starting,2,0.1,"[""IPC Server Responder: starting"", ""IPC Server Responder: starting""]",1,high,1,Auto-labeled (high confidence)
Using callQueue class java.util.concurrent.LinkedBlockingQueue,2,0.1,"[""Using callQueue class java.util.concurrent.LinkedBlockingQueue"", ""Using callQueue class java.util.concurrent.LinkedBlockingQueue""]",1,high,1,Auto-labeled (high confidence)
adding path spec: /<*>/*,2,0.1,"[""adding path spec: /mapreduce/*"", ""adding path spec: /ws/*""]",0,low,0,
<*> failures on node MININT-<*>,2,0.1,"[""1 failures on node MININT-FNANLI5.fareast.corp.microsoft.com"", ""2 failures on node MININT-FNANLI5.fareast.corp.microsoft.com""]",1,high,6,Auto-labeled (high confidence)
Added attempt_<*> to list of failed maps,2,0.1,"[""Added attempt_1445144423722_0020_m_000002_1 to list of failed maps"", ""Added attempt_1445144423722_0020_m_000001_1 to list of failed maps""]",1,high,2,Auto-labeled (high confidence)
Task cleanup failed for attempt attempt_<*>,2,0.1,"[""Task cleanup failed for attempt attempt_1445144423722_0020_m_000002_0"", ""Task cleanup failed for attempt attempt_1445144423722_0020_m_000001_0""]",1,high,2,Auto-labeled (high confidence)
attempt_<*> TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED,2,0.1,"[""attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED"", ""attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED""]",1,high,2,Auto-labeled (high confidence)
Using mapred newApiCommitter.,1,0.05,"[""Using mapred newApiCommitter.""]",0,high,2,Auto-labeled (high confidence)
Scheduled snapshot period at <*> second(s).,1,0.05,"[""Scheduled snapshot period at 10 second(s).""]",0,high,0,Auto-labeled (high confidence)
Created MRAppMaster for application appattempt_<*>,1,0.05,"[""Created MRAppMaster for application appattempt_1445144423722_0020_000001""]",0,high,0,Auto-labeled (high confidence)
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",1,0.05,"[""Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)""]",6,high,0,Auto-labeled (high confidence)
Executing with tokens:,1,0.05,"[""Executing with tokens:""]",5,high,0,Auto-labeled (high confidence)
Processing the event EventType: JOB_SETUP,1,0.05,"[""Processing the event EventType: JOB_SETUP""]",1,high,1,Auto-labeled (high confidence)
job_<*>Job Transitioned from SETUP to RUNNING,1,0.05,"[""job_1445144423722_0020Job Transitioned from SETUP to RUNNING""]",0,high,0,Auto-labeled (high confidence)
yarn.client.max-cached-nodemanagers-proxies : <*>,1,0.05,"[""yarn.client.max-cached-nodemanagers-proxies : 0""]",1,high,1,Auto-labeled (high confidence)
job_<*>Job Transitioned from INITED to SETUP,1,0.05,"[""job_1445144423722_0020Job Transitioned from INITED to SETUP""]",0,high,0,Auto-labeled (high confidence)
Upper limit on the thread pool size is <*>,1,0.05,"[""Upper limit on the thread pool size is 500""]",0,high,0,Auto-labeled (high confidence)
queue: default,1,0.05,"[""queue: default""]",0,low,0,
Connecting to ResourceManager at <*>/<*>:<*>,1,0.05,"[""Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030""]",2,high,0,Auto-labeled (high confidence)
"maxContainerCapability: <memory:<*>, vCores:<*>>",1,0.05,"[""maxContainerCapability: <memory:8192, vCores:32>""]",0,high,0,Auto-labeled (high confidence)
nodeBlacklistingEnabled:true,1,0.05,"[""nodeBlacklistingEnabled:true""]",0,low,0,
JOB_CREATE job_<*>,1,0.05,"[""JOB_CREATE job_1445144423722_0020""]",2,high,0,Auto-labeled (high confidence)
blacklistDisablePercent is <*>,1,0.05,"[""blacklistDisablePercent is 33""]",2,medium,0,
maxTaskFailuresPerNode is <*>,1,0.05,"[""maxTaskFailuresPerNode is 3""]",2,medium,0,
Registered webapp guice modules,1,0.05,"[""Registered webapp guice modules""]",0,high,0,Auto-labeled (high confidence)
Web app /mapreduce started at <*>,1,0.05,"[""Web app /mapreduce started at 62267""]",0,high,0,Auto-labeled (high confidence)
Extract jar:file:<*> to <*>,1,0.05,"[""Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\\Users\\msrabi\\AppData\\Local\\Temp\\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\\webapp""]",0,high,0,Auto-labeled (high confidence)
Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:<*>,1,0.05,"[""Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267""]",0,high,0,Auto-labeled (high confidence)
Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,1,0.05,"[""Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server""]",0,high,0,Auto-labeled (high confidence)
Logging to <*>(org.mortbay.log) via <*>,1,0.05,"[""Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog""]",0,high,0,Auto-labeled (high confidence)
jetty-6.1.26,1,0.05,"[""jetty-6.1.26""]",2,high,2,Auto-labeled (high confidence)
Jetty bound to port <*>,1,0.05,"[""Jetty bound to port 62267""]",1,high,1,Auto-labeled (high confidence)
Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,1,0.05,"[""Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static""]",1,high,1,Auto-labeled (high confidence)
Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,1,0.05,"[""Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce""]",1,high,1,Auto-labeled (high confidence)
Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),1,0.05,"[""Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)""]",1,high,1,Auto-labeled (high confidence)
Http request log for http.requests.mapreduce is not defined,1,0.05,"[""Http request log for http.requests.mapreduce is not defined""]",0,high,0,Auto-labeled (high confidence)
Instantiated MRClientService at MININT-<*>/<*>:<*>,1,0.05,"[""Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260""]",1,high,1,Auto-labeled (high confidence)
MRAppMaster metrics system started,1,0.05,"[""MRAppMaster metrics system started""]",5,high,5,Auto-labeled (high confidence)
Adding job token for job_<*> to jobTokenSecretManager,1,0.05,"[""Adding job token for job_1445144423722_0020 to jobTokenSecretManager""]",0,high,0,Auto-labeled (high confidence)
Not uberizing job_<*> because: not enabled; too many maps; too much input;,1,0.05,"[""Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;""]",1,high,1,Auto-labeled (high confidence)
Input size for job job_<*> = <*>. Number of splits = <*>,1,0.05,"[""Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10""]",0,high,0,Auto-labeled (high confidence)
Number of reduces for job job_<*> = <*>,1,0.05,"[""Number of reduces for job job_1445144423722_0020 = 1""]",0,high,0,Auto-labeled (high confidence)
job_<*>Job Transitioned from NEW to INITED,1,0.05,"[""job_1445144423722_0020Job Transitioned from NEW to INITED""]",0,high,0,Auto-labeled (high confidence)
"MRAppMaster launching normal, non-uberized, multi-container job job_<*>.",1,0.05,"[""MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.""]",1,high,1,Auto-labeled (high confidence)
loaded properties from hadoop-metrics2.properties,1,0.05,"[""loaded properties from hadoop-metrics2.properties""]",0,high,0,Auto-labeled (high confidence)
Emitting job history data to the timeline server is not enabled,1,0.05,"[""Emitting job history data to the timeline server is not enabled""]",0,high,0,Auto-labeled (high confidence)
OutputCommitter set in config null,1,0.05,"[""OutputCommitter set in config null""]",1,medium,5,
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1,0.05,"[""OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter""]",0,medium,0,
Container complete event for unknown container id container_<*>,1,0.05,"[""Container complete event for unknown container id container_1445144423722_0020_01_000012""]",1,high,2,Auto-labeled (high confidence)
"Cannot assign container Container: [ContainerId: container_<*>, NodeId: <*>:<*>, NodeHttpAddress: <*>:<*>, Resource: <memory:<*>, vCores:<*>>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*>:<*> }, ] for a map as either  container memory less than required <memory:<*>, vCores:<*>> or no pending map tasks - maps.isEmpty=true",1,0.05,"[""Cannot assign container Container: [ContainerId: container_1445144423722_0020_01_000012, NodeId: MSRA-SA-39.fareast.corp.microsoft.com:28345, NodeHttpAddress: MSRA-SA-39.fareast.corp.microsoft.com:8042, Resource: <memory:1024, vCores:1>, Priority: 20, Token: Token { kind: ContainerToken, service: 172.22.149.145:28345 }, ] for a map as either  container memory less than required <memory:1024, vCores:1> or no pending map tasks - maps.isEmpty=true""]",0,high,2,Auto-labeled (high confidence)
Size of containertokens_dob is <*>,1,0.05,"[""Size of containertokens_dob is 1""]",1,high,0,Auto-labeled (high confidence)
Putting shuffle token in serviceData,1,0.05,"[""Putting shuffle token in serviceData""]",0,low,0,
"Event Writer setup for JobId: job_<*>, File: hdfs://<*>",1,0.05,"[""Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist""]",1,high,0,Auto-labeled (high confidence)
"mapResourceRequest:<memory:<*>, vCores:<*>>",1,0.05,"[""mapResourceRequest:<memory:1024, vCores:1>""]",0,high,0,Auto-labeled (high confidence)
"reduceResourceRequest:<memory:<*>, vCores:<*>>",1,0.05,"[""reduceResourceRequest:<memory:1024, vCores:1>""]",0,high,0,Auto-labeled (high confidence)
The job-jar file on the remote FS is hdfs://<*>,1,0.05,"[""The job-jar file on the remote FS is hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar""]",0,high,0,Auto-labeled (high confidence)
The job-conf file on the remote FS is <*>,1,0.05,"[""The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml""]",0,high,0,Auto-labeled (high confidence)
Adding #<*> tokens and #<*> secret keys for NM use for launching container,1,0.05,"[""Adding #0 tokens and #1 secret keys for NM use for launching container""]",1,high,1,Auto-labeled (high confidence)
Task succeeded with attempt attempt_<*>,1,0.05,"[""Task succeeded with attempt attempt_1445144423722_0020_m_000003_0""]",0,high,0,Auto-labeled (high confidence)
Done acknowledgement from attempt_<*>,1,0.05,"[""Done acknowledgement from attempt_1445144423722_0020_m_000003_0""]",0,high,0,Auto-labeled (high confidence)
"Slow ReadProcessor read fields took <*>ms (threshold=<*>ms); ack: seqno: <*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*>, targets: [<*>:<*>, <*>:<*>]",1,0.05,"[""Slow ReadProcessor read fields took 65020ms (threshold=30000ms); ack: seqno: -2 status: SUCCESS status: ERROR downstreamAckTimeNanos: 0, targets: [10.86.169.121:50010, 10.190.173.170:50010]""]",0,high,0,Auto-labeled (high confidence)
