template,count,percentage,samples,suggested,confidence,label,notes
getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,37,1.8499999999999999,"[""getTasks: caller 10113 does not hold REAL_GET_TASKS; limiting output"", ""getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output"", ""getTasks: caller 10111 does not hold REAL_GET_TASKS; limiting output""]",0,high,0,Auto-labeled (high confidence)
shouldBlockLocation running ...,37,1.8499999999999999,"[""shouldBlockLocation running ..."", ""shouldBlockLocation running ..."", ""shouldBlockLocation running ...""]",0,high,0,Auto-labeled (high confidence)
"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33,1.6500000000000001,"[""Releasing suspend blocker \""PowerManagerService.WakeLocks\""."", ""Releasing suspend blocker \""PowerManagerService.WakeLocks\""."", ""Releasing suspend blocker \""PowerManagerService.WakeLocks\"".""]",0,medium,0,
"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33,1.6500000000000001,"[""Acquiring suspend blocker \""PowerManagerService.WakeLocks\""."", ""Acquiring suspend blocker \""PowerManagerService.WakeLocks\""."", ""Acquiring suspend blocker \""PowerManagerService.WakeLocks\"".""]",0,medium,0,
shouldBlockLocation  ret:false,33,1.6500000000000001,"[""shouldBlockLocation  ret:false"", ""shouldBlockLocation  ret:false"", ""shouldBlockLocation  ret:false""]",0,high,0,Auto-labeled (high confidence)
"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26,1.3,"[""acquire lock=233570404, flags=0x1, tag=\""View Lock\"", name=com.android.systemui, ws=null, uid=10037, pid=2227"", ""acquire lock=166121161, flags=0x1, tag=\""RILJ_ACK_WL\"", name=com.android.phone, ws=null, uid=1001, pid=2626"", ""acquire lock=189667585, flags=0x1, tag=\""*launch*\"", name=android, ws=WorkSource{10113}, uid=1000, pid=1702""]",0,high,0,Auto-labeled (high confidence)
"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26,1.3,"[""release:lock=233570404, flg=0x0, tag=\""View Lock\"", name=com.android.systemui\"", ws=null, uid=10037, pid=2227"", ""release:lock=189667585, flg=0x0, tag=\""*launch*\"", name=android\"", ws=WorkSource{10113}, uid=1000, pid=1702"", ""release:lock=62617001, flg=0x0, tag=\""WindowManager\"", name=android\"", ws=WorkSource{10113}, uid=1000, pid=1702""]",0,high,0,Auto-labeled (high confidence)
Destroying surface Surface(name=<*>) called by <*>,25,1.25,"[""Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>"", ""Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136"", ""Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.removeLocked:1554 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702 com.android.server.wm.WindowManagerService.removeWindowLocked:2691 com.android.server.wm.WindowManagerService.removeWindowLocked:2560 com.android.server.wm.WindowManagerService.removeWindow:2555""]",0,high,0,Auto-labeled (high confidence)
suspendAutohide,23,1.15,"[""suspendAutohide"", ""suspendAutohide"", ""suspendAutohide""]",0,medium,0,
"cancelNotification,index:<*>",23,1.15,"[""cancelNotification,index:0"", ""cancelNotification,index:-1"", ""cancelNotification,index:-1""]",1,high,0,Auto-labeled (high confidence)
"Skipping, withExcluded: false, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",21,1.05,"[""Skipping, withExcluded: false, tr.intent:Intent { flg=0x18800000 cmp=com.tencent.mm/.plugin.base.stub.WXEntryActivity (has extras) }"", ""Skipping, withExcluded: false, tr.intent:Intent { flg=0x10800000 cmp=com.tencent.qqmusic/.business.lockscreen.LockScreenActivity (has extras) }"", ""Skipping, withExcluded: false, tr.intent:Intent { flg=0x18800000 cmp=com.tencent.mm/.plugin.base.stub.WXEntryActivity (has extras) }""]",0,high,0,Auto-labeled (high confidence)
cancelPeek: false,20,1.0,"[""cancelPeek: false"", ""cancelPeek: false"", ""cancelPeek: false""]",0,high,0,Auto-labeled (high confidence)
"cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>",20,1.0,"[""cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =121"", ""cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =119"", ""cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id =122""]",0,high,0,Auto-labeled (high confidence)
"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19,0.95,"[""notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500"", ""notifyUiVisibilityChanged:vis=0x508, SystemUiVisibility=0x508"", ""notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500""]",0,high,0,Auto-labeled (high confidence)
querySoundEffectsEnabled...,17,0.8500000000000001,"[""querySoundEffectsEnabled..."", ""querySoundEffectsEnabled..."", ""querySoundEffectsEnabled...""]",0,medium,0,
cancelAutohide,15,0.75,"[""cancelAutohide"", ""cancelAutohide"", ""cancelAutohide""]",0,medium,0,
getRecentTasks: topActivity=ComponentInfo{<*><*>.<*>},14,0.7000000000000001,"[""getRecentTasks: topActivity=ComponentInfo{com.tencent.mobileqq/com.tencent.mobileqq.activity.SplashActivity}"", ""getRecentTasks: topActivity=ComponentInfo{com.tencent.mobileqq/com.tencent.mobileqq.activity.SplashActivity}"", ""getRecentTasks: topActivity=ComponentInfo{com.tencent.mobileqq/com.tencent.mobileqq.activity.SplashActivity}""]",0,high,0,Auto-labeled (high confidence)
"Skipping, withExcluded: false, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }",14,0.7000000000000001,"[""Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.MAIN flg=0x10840000 cmp=com.android.incallui/.InCallActivity (has extras) }"", ""Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.MAIN flg=0x10840000 cmp=com.android.incallui/.InCallActivity (has extras) }"", ""Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.MAIN flg=0x10840000 cmp=com.android.incallui/.InCallActivity (has extras) }""]",0,high,0,Auto-labeled (high confidence)
"Skipping, withExcluded: false, tr.intent:Intent { flg=<*> cmp=<*> bnds=<*> }",14,0.7000000000000001,"[""Skipping, withExcluded: false, tr.intent:Intent { flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity bnds=[264,444][920,908] }"", ""Skipping, withExcluded: false, tr.intent:Intent { flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity bnds=[264,444][920,908] }"", ""Skipping, withExcluded: false, tr.intent:Intent { flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity bnds=[264,444][920,908] }""]",0,high,0,Auto-labeled (high confidence)
"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14,0.7000000000000001,"[""getRecentTasks: num=20,flags=62,totalTasks=46"", ""getRecentTasks: num=10,flags=62,totalTasks=46"", ""getRecentTasks: num=20,flags=62,totalTasks=46""]",0,high,0,Auto-labeled (high confidence)
"interceptKeyBeforeQueueing: key <*> , result : <*>",14,0.7000000000000001,"[""interceptKeyBeforeQueueing: key 4 , result : 1"", ""interceptKeyBeforeQueueing: key 4 , result : 1"", ""interceptKeyBeforeQueueing: key 4 , result : 1""]",0,high,0,Auto-labeled (high confidence)
"updateNotificationShade: total=<*>, active=<*>",13,0.65,"[""updateNotificationShade: total=0, active=0"", ""updateNotificationShade: total=0, active=0"", ""updateNotificationShade: total=0, active=0""]",0,high,0,Auto-labeled (high confidence)
"overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>",13,0.65,"[""overlapAmount:196.0, previousNotificationEnd:0.0, newYTranslation:-196.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-529"", ""overlapAmount:146.0, previousNotificationEnd:0.0, newYTranslation:-146.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-479"", ""overlapAmount:119.0, previousNotificationEnd:0.0, newYTranslation:-119.0, location:4, i:0, getTopPadding:333.0, getLocationOnScreen():-452""]",0,high,0,Auto-labeled (high confidence)
"updateClipping isOverlap:true, getTopPadding=<*>.<*>, Translation=<*>.<*>",13,0.65,"[""updateClipping isOverlap:true, getTopPadding=333.0, Translation=-529.0"", ""updateClipping isOverlap:true, getTopPadding=333.0, Translation=-479.0"", ""updateClipping isOverlap:true, getTopPadding=333.0, Translation=-452.0""]",0,high,0,Auto-labeled (high confidence)
updateDimmedActivatedHideSensitive overlap:true,13,0.65,"[""updateDimmedActivatedHideSensitive overlap:true"", ""updateDimmedActivatedHideSensitive overlap:true"", ""updateDimmedActivatedHideSensitive overlap:true""]",0,high,0,Auto-labeled (high confidence)
"state.clipTopAmount:<*>, i:<*>",13,0.65,"[""state.clipTopAmount:180, i:0"", ""state.clipTopAmount:130, i:0"", ""state.clipTopAmount:103, i:0""]",0,high,0,Auto-labeled (high confidence)
closeQs,12,0.6,"[""closeQs"", ""closeQs"", ""closeQs""]",0,medium,0,
removeNotificationChildren,12,0.6,"[""removeNotificationChildren"", ""removeNotificationChildren"", ""removeNotificationChildren""]",0,medium,0,
isMusicActive...,12,0.6,"[""isMusicActive..."", ""isMusicActive..."", ""isMusicActive...""]",0,medium,0,
resumeSuspendedAutohide,10,0.5,"[""resumeSuspendedAutohide"", ""resumeSuspendedAutohide"", ""resumeSuspendedAutohide""]",0,medium,0,
playSoundEffect   effectType: <*>,10,0.5,"[""playSoundEffect   effectType: 0"", ""playSoundEffect   effectType: 0"", ""playSoundEffect   effectType: 0""]",0,high,0,Auto-labeled (high confidence)
instantCollapse,9,0.44999999999999996,"[""instantCollapse"", ""instantCollapse"", ""instantCollapse""]",0,medium,0,
getLastAudibleStreamVolume  treamType: <*>,9,0.44999999999999996,"[""getLastAudibleStreamVolume  treamType: 0"", ""getLastAudibleStreamVolume  treamType: 1"", ""getLastAudibleStreamVolume  treamType: 2""]",0,high,0,Auto-labeled (high confidence)
"Skipping, withExcluded: false, tr.intent:Intent { act=<*> dat=<*> flg=<*> cmp=<*> (has extras) }",7,0.35000000000000003,"[""Skipping, withExcluded: false, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:xxxxxxxxxxx flg=0x10808000 cmp=com.android.contacts/.ChooseSubActivity (has extras) }"", ""Skipping, withExcluded: false, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:xxxxxxxxxxx flg=0x10808000 cmp=com.android.contacts/.ChooseSubActivity (has extras) }"", ""Skipping, withExcluded: false, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:xxxxxxxxxxx flg=0x10808000 cmp=com.android.contacts/.ChooseSubActivity (has extras) }""]",0,high,0,Auto-labeled (high confidence)
"Skipping, withExcluded: false, tr.intent:Intent { act=<*> dat=<*> typ=<*> flg=<*> cmp=<*> (has extras) }",7,0.35000000000000003,"[""Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.VIEW dat=file:///storage/emulated/0/Tencent/QQfile_recv/b.apk typ=application/vnd.android.package-archive flg=0x10800000 cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) }"", ""Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.VIEW dat=file:///storage/emulated/0/Tencent/QQfile_recv/b.apk typ=application/vnd.android.package-archive flg=0x10800000 cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) }"", ""Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.VIEW dat=file:///storage/emulated/0/Tencent/QQfile_recv/b.apk typ=application/vnd.android.package-archive flg=0x10800000 cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) }""]",0,high,0,Auto-labeled (high confidence)
interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down false canceled false,7,0.35000000000000003,"[""interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down false canceled false"", ""interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down false canceled false"", ""interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down false canceled false""]",0,high,0,Auto-labeled (high confidence)
interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down true canceled false,7,0.35000000000000003,"[""interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down true canceled false"", ""interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down true canceled false"", ""interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down true canceled false""]",0,high,0,Auto-labeled (high confidence)
logNotificationVisibilityChanges runInThread over,6,0.3,"[""logNotificationVisibilityChanges runInThread over"", ""logNotificationVisibilityChanges runInThread over"", ""logNotificationVisibilityChanges runInThread over""]",1,high,1,Auto-labeled (high confidence)
logNotificationVisibilityChanges runInThread start,6,0.3,"[""logNotificationVisibilityChanges runInThread start"", ""logNotificationVisibilityChanges runInThread start"", ""logNotificationVisibilityChanges runInThread start""]",0,high,0,Auto-labeled (high confidence)
stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=false,6,0.3,"[""stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=false"", ""stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=false"", ""stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=false""]",0,high,0,Auto-labeled (high confidence)
stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,6,0.3,"[""stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=0"", ""stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=0"", ""stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=0""]",0,high,0,Auto-labeled (high confidence)
"cleanUpApplicationRecordLocked, pid: <*>, restart: false",6,0.3,"[""cleanUpApplicationRecordLocked, pid: 12025, restart: false"", ""cleanUpApplicationRecordLocked, pid: 5784, restart: false"", ""cleanUpApplicationRecordLocked, pid: 23484, restart: false""]",0,high,0,Auto-labeled (high confidence)
The change in focus caused us to need to do a layout end,6,0.3,"[""The change in focus caused us to need to do a layout end"", ""The change in focus caused us to need to do a layout end"", ""The change in focus caused us to need to do a layout end""]",0,high,0,Auto-labeled (high confidence)
The change in focus caused us to need to do a layout begin,6,0.3,"[""The change in focus caused us to need to do a layout begin"", ""The change in focus caused us to need to do a layout begin"", ""The change in focus caused us to need to do a layout begin""]",0,high,0,Auto-labeled (high confidence)
"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6,0.3,"[""cleanUpApplicationRecordLocked, reset pid: 12025, euid: 0"", ""cleanUpApplicationRecordLocked, reset pid: 5784, euid: 0"", ""cleanUpApplicationRecordLocked, reset pid: 23484, euid: 0""]",0,high,0,Auto-labeled (high confidence)
cleanUpApplicationRecord -- <*>,6,0.3,"[""cleanUpApplicationRecord -- 12025"", ""cleanUpApplicationRecord -- 5784"", ""cleanUpApplicationRecord -- 23484""]",0,high,0,Auto-labeled (high confidence)
onNotificationVisibilityChanged called,6,0.3,"[""onNotificationVisibilityChanged called"", ""onNotificationVisibilityChanged called"", ""onNotificationVisibilityChanged called""]",0,high,0,Auto-labeled (high confidence)
"updateLightsLocked,turn off notificationLight",6,0.3,"[""updateLightsLocked,turn off notificationLight"", ""updateLightsLocked,turn off notificationLight"", ""updateLightsLocked,turn off notificationLight""]",0,high,0,Auto-labeled (high confidence)
mVisiblity.getValue is false,5,0.25,"[""mVisiblity.getValue is false"", ""mVisiblity.getValue is false"", ""mVisiblity.getValue is false""]",0,high,0,Auto-labeled (high confidence)
getNeighboringCellInfo calling app is <*>,5,0.25,"[""getNeighboringCellInfo calling app is com.amap.android.ams"", ""getNeighboringCellInfo calling app is com.amap.android.ams"", ""getNeighboringCellInfo calling app is com.amap.android.ams""]",0,high,0,Auto-labeled (high confidence)
"animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=false",5,0.25,"[""animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=false"", ""animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=false"", ""animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=false""]",0,high,0,Auto-labeled (high confidence)
"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true",4,0.2,"[""updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true"", ""updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true"", ""updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true""]",0,high,0,Auto-labeled (high confidence)
"Taking screenshot from Surface with crop:[Rect(<*>, <*> - <*>, <*>)], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[false], rot:[<*>]",4,0.2,"[""Taking screenshot from Surface with crop:[Rect(0, 48 - 720, 1208)], width:[432], height:[696], minLayer:[21085], maxLayer:[21085], inRotation:[false], rot:[0]"", ""Taking screenshot from Surface with crop:[Rect(0, 48 - 720, 1208)], width:[432], height:[696], minLayer:[21000], maxLayer:[21080], inRotation:[false], rot:[0]"", ""Taking screenshot from Surface with crop:[Rect(0, 48 - 720, 1208)], width:[432], height:[696], minLayer:[21080], maxLayer:[21085], inRotation:[false], rot:[0]""]",0,high,0,Auto-labeled (high confidence)
"ActivityRecord info: ActivityInfo{<*> <*>}, euid: <*>",4,0.2,"[""ActivityRecord info: ActivityInfo{d1c8e63 com.tencent.mobileqq.activity.SplashActivity}, euid: 0"", ""ActivityRecord info: ActivityInfo{f39182 com.example.android.notepad.NotePadActivity}, euid: 0"", ""ActivityRecord info: ActivityInfo{71e60ba com.tencent.mobileqq.activity.SplashActivity}, euid: 0""]",0,high,0,Auto-labeled (high confidence)
shouldBlockLocation  ret:true,4,0.2,"[""shouldBlockLocation  ret:true"", ""shouldBlockLocation  ret:true"", ""shouldBlockLocation  ret:true""]",0,high,0,Auto-labeled (high confidence)
Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,4,0.2,"[""Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide"", ""Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide"", ""Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide""]",0,high,0,Auto-labeled (high confidence)
"ActivityManagerService,attachApplication,callingPid = <*>",4,0.2,"[""ActivityManagerService,attachApplication,callingPid = 12787"", ""ActivityManagerService,attachApplication,callingPid = 13003"", ""ActivityManagerService,attachApplication,callingPid = 13094""]",0,high,0,Auto-labeled (high confidence)
mHeadsUpExistenceChangedRunnable,4,0.2,"[""mHeadsUpExistenceChangedRunnable"", ""mHeadsUpExistenceChangedRunnable"", ""mHeadsUpExistenceChangedRunnable""]",0,medium,0,
received broadcast <*>,4,0.2,"[""received broadcast android.intent.action.TIME_TICK"", ""received broadcast android.intent.action.TIME_TICK"", ""received broadcast android.intent.action.TIME_TICK""]",0,high,0,Auto-labeled (high confidence)
visible is <*>,3,0.15,"[""visible is system.time.showampm"", ""visible is system.charge.show"", ""visible is system.ownerinfo.show""]",0,high,0,Auto-labeled (high confidence)
Received TIME_TICK alarm; rescheduling,3,0.15,"[""Received TIME_TICK alarm; rescheduling"", ""Received TIME_TICK alarm; rescheduling"", ""Received TIME_TICK alarm; rescheduling""]",0,high,0,Auto-labeled (high confidence)
"sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*>: PendingIntentRecord{<*> android broadcastIntent}}},repeatInterval = <*>,listenerTag =time_tick",3,0.15,"[""sending alarm Alarm{aa90550 type 3 when 509142332 PendingIntent{1749923: PendingIntentRecord{9600e20 android broadcastIntent}}},repeatInterval = 0,listenerTag =time_tick"", ""sending alarm Alarm{c1705d3 type 3 when 509202333 PendingIntent{1749923: PendingIntentRecord{9600e20 android broadcastIntent}}},repeatInterval = 0,listenerTag =time_tick"", ""sending alarm Alarm{d764221 type 3 when 509262332 PendingIntent{1749923: PendingIntentRecord{9600e20 android broadcastIntent}}},repeatInterval = 0,listenerTag =time_tick""]",0,high,0,Auto-labeled (high confidence)
scheduleTimeTickEvent triggerAtTime = <*>,3,0.15,"[""scheduleTimeTickEvent triggerAtTime = 509202333"", ""scheduleTimeTickEvent triggerAtTime = 509262332"", ""scheduleTimeTickEvent triggerAtTime = 509322332""]",0,high,0,Auto-labeled (high confidence)
<*>: Must execute in UI,3,0.15,"[""android.util.AndroidRuntimeException: Must execute in UI"", ""android.util.AndroidRuntimeException: Must execute in UI"", ""android.util.AndroidRuntimeException: Must execute in UI""]",0,high,2,Auto-labeled (high confidence)
registerCallback not in UI.,3,0.15,"[""registerCallback not in UI."", ""registerCallback not in UI."", ""registerCallback not in UI.""]",5,medium,2,
makeExpandedInvisible: mExpandedVisible=true,3,0.15,"[""makeExpandedInvisible: mExpandedVisible=true"", ""makeExpandedInvisible: mExpandedVisible=true"", ""makeExpandedInvisible: mExpandedVisible=true""]",0,high,0,Auto-labeled (high confidence)
getAllCellInfo is blocked by permission manager . callingPackage = <*>,3,0.15,"[""getAllCellInfo is blocked by permission manager . callingPackage = com.tencent.mobileqq"", ""getAllCellInfo is blocked by permission manager . callingPackage = com.tencent.mobileqq"", ""getAllCellInfo is blocked by permission manager . callingPackage = com.tencent.mobileqq""]",0,high,1,Auto-labeled (high confidence)
getRingerMode...,3,0.15,"[""getRingerMode..."", ""getRingerMode..."", ""getRingerMode...""]",0,medium,0,
"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",3,0.15,"[""rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED"", ""rotationForOrientationLw(orient=-1, last=0); user=0 USER_ROTATION_LOCKED"", ""rotationForOrientationLw(orient=1, last=0); user=0 USER_ROTATION_LOCKED""]",0,high,0,Auto-labeled (high confidence)
"Application requested orientation <*>, got rotation <*> which has compatible metrics",3,0.15,"[""Application requested orientation 1, got rotation 0 which has compatible metrics"", ""Application requested orientation -1, got rotation 0 which has compatible metrics"", ""Application requested orientation 1, got rotation 0 which has compatible metrics""]",0,high,0,Auto-labeled (high confidence)
