template,count,percentage,samples,suggested,confidence,label,notes
Received SNMP packet(s) from <*>,1,0.05,"[""Received SNMP packet(s) from 67.170.148.126""]",0,low,0.0,
*** info [mice.c(<*>)]:,1,0.05,"[""*** info [mice.c(1766)]:""]",0,low,0.0,
authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=,1,0.05,"[""authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=""]",6,low,1.0,
syslogd startup succeeded,1,0.05,"[""syslogd startup succeeded""]",0,low,0.0,
Couldn't authenticate user,1,0.05,"[""Couldn't authenticate user""]",0,low,1.0,
Linux version <*>.<*>.<*><*>.<*> (bhcompile@bugs.build.redhat.com) (gcc version <*>.<*>.<*> (Red Hat Linux <*>.<*>.<*><*>)) #<*> <*>:<*>:<*> EDT <*>,1,0.05,"[""Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004""]",0,low,0.0,
"klogd <*>.<*>.<*>, log source = /proc/kmsg started.",1,0.05,"[""klogd 1.4.1, log source = /proc/kmsg started.""]",0,low,0.0,
BIOS-provided physical RAM map:,1,0.05,"[""BIOS-provided physical RAM map:""]",0,low,0.0,
<*> HIGHMEM available.,1,0.05,"[""0MB HIGHMEM available.""]",0,low,0.0,
<*> LOWMEM available.,1,0.05,"[""126MB LOWMEM available.""]",0,low,0.0,
zapping low mappings.,1,0.05,"[""zapping low mappings.""]",0,low,0.0,
klogd startup succeeded,1,0.05,"[""klogd startup succeeded""]",0,low,0.0,
On node <*> totalpages: <*>,1,0.05,"[""On node 0 totalpages: 32430""]",0,low,0.0,
"DMA zone: <*> pages, LIFO batch:<*>",1,0.05,"[""DMA zone: 4096 pages, LIFO batch:1""]",0,low,0.0,
"Normal zone: <*> pages, LIFO batch:<*>",1,0.05,"[""Normal zone: 28334 pages, LIFO batch:6""]",0,low,0.0,
irqbalance startup succeeded,1,0.05,"[""irqbalance startup succeeded""]",0,low,0.0,
"HighMem zone: <*> pages, LIFO batch:<*>",1,0.05,"[""HighMem zone: 0 pages, LIFO batch:1""]",0,low,0.0,
DMI <*>.<*> present.,1,0.05,"[""DMI 2.3 present.""]",0,low,0.0,
ACPI disabled because your bios is from <*> and too old,1,0.05,"[""ACPI disabled because your bios is from 2000 and too old""]",4,low,6.0,
You can enable it with acpi=force,1,0.05,"[""You can enable it with acpi=force""]",0,low,5.0,
Built <*> zonelists,1,0.05,"[""Built 1 zonelists""]",0,low,0.0,
Kernel command line: ro root=LABEL=/ rhgb quiet,1,0.05,"[""Kernel command line: ro root=LABEL=/ rhgb quiet""]",0,low,0.0,
mapped 4G/4G trampoline to <*>.,1,0.05,"[""mapped 4G/4G trampoline to ffff3000.""]",0,low,0.0,
Initializing CPU#<*>,1,0.05,"[""Initializing CPU#0""]",0,low,0.0,
"CPU <*> irqstacks, hard=<*> soft=<*>",1,0.05,"[""CPU 0 irqstacks, hard=02345000 soft=02344000""]",0,low,0.0,
portmap startup succeeded,1,0.05,"[""portmap startup succeeded""]",0,low,0.0,
PID hash table entries: 512 (order <*>: <*> bytes),1,0.05,"[""PID hash table entries: 512 (order 9: 4096 bytes)""]",0,low,0.0,
Detected <*>.<*> MHz processor.,1,0.05,"[""Detected 731.219 MHz processor.""]",0,medium,0.0,
Version <*>.<*>.<*> Starting,1,0.05,"[""Version 1.0.6 Starting""]",0,medium,0.0,
Using tsc for high-res timesource,1,0.05,"[""Using tsc for high-res timesource""]",0,low,0.0,
rpc.statd startup succeeded,1,0.05,"[""rpc.statd startup succeeded""]",0,low,0.0,
Console: colour VGA+ <*>,1,0.05,"[""Console: colour VGA+ 80x25""]",0,low,0.0,
"Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)",1,0.05,"[""Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)""]",0,low,0.0,
Calibrating delay loop... <*>.<*> BogoMIPS,1,0.05,"[""Calibrating delay loop... 1445.88 BogoMIPS""]",0,low,0.0,
Security Scaffold v<*>.<*>.<*> initialized,1,0.05,"[""Security Scaffold v1.0.0 initialized""]",0,low,0.0,
SELinux:  Initializing.,1,0.05,"[""SELinux:  Initializing.""]",0,low,,
SELinux:  Starting in permissive mode,1,0.05,"[""SELinux:  Starting in permissive mode""]",0,low,,
"There is already a security framework initialized, register_security failed.",1,0.05,"[""There is already a security framework initialized, register_security failed.""]",0,low,,
Failure registering capabilities with the kernel,1,0.05,"[""Failure registering capabilities with the kernel""]",6,low,,
selinux_register_security:  Registering secondary module capability,1,0.05,"[""selinux_register_security:  Registering secondary module capability""]",0,low,,
Capability LSM initialized,1,0.05,"[""Capability LSM initialized""]",0,low,,
rpc.idmapd startup succeeded,1,0.05,"[""rpc.idmapd startup succeeded""]",0,low,,
"Dentry cache hash table entries: <*> (order: <*>, <*> bytes)",1,0.05,"[""Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)""]",0,low,,
"Inode-cache hash table entries: <*> (order: <*>, <*> bytes)",1,0.05,"[""Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)""]",0,low,,
"Mount-cache hash table entries: <*> (order: <*>, <*> bytes)",1,0.05,"[""Mount-cache hash table entries: 512 (order: 0, 4096 bytes)""]",0,low,,
"CPU: L1 I cache: <*>, L1 D cache: <*>",1,0.05,"[""CPU: L1 I cache: 16K, L1 D cache: 16K""]",0,low,,
CPU: L2 cache: <*>,1,0.05,"[""CPU: L2 cache: 256K""]",0,low,,
Intel machine check architecture supported.,1,0.05,"[""Intel machine check architecture supported.""]",0,low,,
Intel machine check reporting enabled on CPU#<*>.,1,0.05,"[""Intel machine check reporting enabled on CPU#0.""]",0,low,,
CPU: Intel Pentium III (Coppermine) stepping <*>,1,0.05,"[""CPU: Intel Pentium III (Coppermine) stepping 06""]",0,low,,
Enabling fast FPU save and restore... done.,1,0.05,"[""Enabling fast FPU save and restore... done.""]",0,low,,
Enabling unmasked SIMD FPU exception support... done.,1,0.05,"[""Enabling unmasked SIMD FPU exception support... done.""]",4,low,,
Checking 'hlt' instruction... OK.,1,0.05,"[""Checking 'hlt' instruction... OK.""]",0,low,,
Initializing random number generator:  succeeded,1,0.05,"[""Initializing random number generator:  succeeded""]",0,low,,
POSIX conformance testing by UNIFIX,1,0.05,"[""POSIX conformance testing by UNIFIX""]",0,low,,
NET: Registered protocol family <*>,1,0.05,"[""NET: Registered protocol family 16""]",0,low,,
"PCI: PCI BIOS revision <*>.<*> entry at <*>, last bus=<*>",1,0.05,"[""PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1""]",0,low,,
PCI: Using configuration type <*>,1,0.05,"[""PCI: Using configuration type 1""]",2,low,,
mtrr: v<*>.<*> (<*>),1,0.05,"[""mtrr: v2.0 (20020519)""]",0,low,,
ACPI: Subsystem revision <*>,1,0.05,"[""ACPI: Subsystem revision 20040326""]",0,low,,
ACPI: Interpreter disabled.,1,0.05,"[""ACPI: Interpreter disabled.""]",0,low,,
Linux Plug and Play Support v<*>.<*> (c) Adam Belay,1,0.05,"[""Linux Plug and Play Support v0.97 (c) Adam Belay""]",0,low,,
Starting pcmcia:  succeeded,1,0.05,"[""Starting pcmcia:  succeeded""]",0,low,,
usbcore: registered new driver usbfs,1,0.05,"[""usbcore: registered new driver usbfs""]",0,low,,
usbcore: registered new driver hub,1,0.05,"[""usbcore: registered new driver hub""]",0,low,,
ACPI: ACPI tables contain no PCI IRQ routing entries,1,0.05,"[""ACPI: ACPI tables contain no PCI IRQ routing entries""]",0,low,,
PCI: Invalid ACPI-PCI IRQ routing table,1,0.05,"[""PCI: Invalid ACPI-PCI IRQ routing table""]",0,low,,
PCI: Probing PCI hardware,1,0.05,"[""PCI: Probing PCI hardware""]",0,low,,
PCI: Probing PCI hardware (bus <*>),1,0.05,"[""PCI: Probing PCI hardware (bus 00)""]",0,low,,
Transparent bridge - <*>,1,0.05,"[""Transparent bridge - 0000:00:1e.0""]",0,low,,
PCI: Using IRQ router PIIX/ICH [<*>/<*>] at <*>,1,0.05,"[""PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0""]",0,low,,
apm: BIOS version <*>.<*> Flags <*> (Driver version <*>),1,0.05,"[""apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac)""]",0,low,,
audit: initializing netlink socket (disabled),1,0.05,"[""audit: initializing netlink socket (disabled)""]",0,low,,
kernel.core_uses_pid = <*>,1,0.05,"[""kernel.core_uses_pid = 1""]",0,low,,
HCI daemon ver <*>.<*> started,1,0.05,"[""HCI daemon ver 2.4 started""]",0,low,,
hcid startup succeeded,1,0.05,"[""hcid startup succeeded""]",0,low,,
audit(<*>.<*>:<*>): initialized,1,0.05,"[""audit(1122475266.4294965305:0): initialized""]",0,low,,
Setting network parameters:  succeeded,1,0.05,"[""Setting network parameters:  succeeded""]",0,medium,,
sdpd startup succeeded,1,0.05,"[""sdpd startup succeeded""]",0,low,,
sdpd v<*>.<*> started,1,0.05,"[""sdpd v1.5 started""]",0,low,,
"Total HugeTLB memory allocated, <*>",1,0.05,"[""Total HugeTLB memory allocated, 0""]",0,low,,
Bringing up loopback interface:  succeeded,1,0.05,"[""Bringing up loopback interface:  succeeded""]",0,low,,
VFS: Disk quotas dquot_<*>.<*>.<*>,1,0.05,"[""VFS: Disk quotas dquot_6.5.1""]",0,low,,
"Dquot-cache hash table entries: <*> (order <*>, <*> bytes)",1,0.05,"[""Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)""]",0,low,,
SELinux:  Registering netfilter hooks,1,0.05,"[""SELinux:  Registering netfilter hooks""]",0,low,,
Initializing Cryptographic API,1,0.05,"[""Initializing Cryptographic API""]",0,low,,
pci_hotplug: PCI Hot Plug PCI Core version: <*>.<*>,1,0.05,"[""pci_hotplug: PCI Hot Plug PCI Core version: 0.5""]",0,low,,
isapnp: Scanning for PnP cards...,1,0.05,"[""isapnp: Scanning for PnP cards...""]",0,low,,
isapnp: No Plug & Play device found,1,0.05,"[""isapnp: No Plug & Play device found""]",0,low,,
Real Time Clock Driver v<*>.<*>,1,0.05,"[""Real Time Clock Driver v1.12""]",3,low,,
Linux agpgart interface v<*>.<*> (c) Dave Jones,1,0.05,"[""Linux agpgart interface v0.100 (c) Dave Jones""]",0,low,,
