LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized
12,460773,node-199,unix.hw,state_change.unavailable,1145552100,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),6,hardware_issue,HPC_2k,2006-04-20 22:25:00.000
13,2568643,node-70,action,start,1074119817,1,clusterAddMember  (command 1902),E8,clusterAddMember  (command <*>),0,normal,HPC_2k,2004-01-15 04:06:57.000
14,2570772,node-124,action,start,1074123150,1,clusterAddMember  (command 1900),E8,clusterAddMember  (command <*>),0,normal,HPC_2k,2004-01-15 05:02:30.000
15,2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),E36,risBoot  (command <*>),0,normal,HPC_2k,2004-01-15 05:39:31.000
16,2572286,node-17,action,start,1074126278,1,bootGenvmunix  (command 1903),E6,bootGenvmunix  (command <*>),0,normal,HPC_2k,2004-01-15 05:54:38.000
17,2575909,node-162,action,start,1074178193,1,boot  (command 1911),E4,boot  (command <*>),0,normal,HPC_2k,2004-01-15 20:19:53.000
18,2576195,node-181,action,start,1074178628,1,boot  (command 1910),E4,boot  (command <*>),0,normal,HPC_2k,2004-01-15 20:27:08.000
19,2599298,node-198,action,start,1074297419,1,boot  (command 1978),E4,boot  (command <*>),0,normal,HPC_2k,2004-01-17 05:26:59.000
20,2600743,node-57,action,start,1074298084,1,boot  (command 1967),E4,boot  (command <*>),0,normal,HPC_2k,2004-01-17 05:38:04.000
21,2601401,node-184,action,start,1074298390,1,wait  (command 1975),E45,wait  (command <*>),0,normal,HPC_2k,2004-01-17 05:43:10.000
22,2612635,node-88,action,start,1074535847,1,boot  (command 1999),E4,boot  (command <*>),0,normal,HPC_2k,2004-01-19 23:40:47.000
23,2608062,node-238,action,start,1074461014,1,halt  (command 1982),E19,halt  (command <*>),0,normal,HPC_2k,2004-01-19 02:53:34.000
24,2607813,node-243,action,start,1074459063,1,boot  (command 1981),E4,boot  (command <*>),0,normal,HPC_2k,2004-01-19 02:21:03.000
25,2600616,node-152,action,start,1074298056,1,boot  (command 1973),E4,boot  (command <*>),0,normal,HPC_2k,2004-01-17 05:37:36.000
26,2601430,node-159,action,start,1074298398,1,wait  (command 1973),E45,wait  (command <*>),0,normal,HPC_2k,2004-01-17 05:43:18.000
27,3515,node-216,action,start,1075629790,1,wait  (command 2057),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-01 15:33:10.000
28,41108,node-93,action,start,1076538873,1,boot  (command 2152),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-12 04:04:33.000
29,39962,node-134,action,start,1076538533,1,wait  (command 2154),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-12 03:58:53.000
30,38426,node-17,action,start,1076537141,1,boot  (command 2141),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-12 03:35:41.000
31,33697,node-251,action,start,1076435713,1,boot  (command 2110),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-10 23:25:13.000
32,46302,node-114,action,start,1076546290,1,boot  (command 2160),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-12 06:08:10.000
33,76306,node-57,action,start,1077204892,1,halt  (command 2221),E19,halt  (command <*>),0,normal,HPC_2k,2004-02-19 21:04:52.000
34,75035,node-116,action,start,1077172847,1,wait  (command 2217),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-19 12:10:47.000
35,75026,node-119,action,start,1077172842,1,wait  (command 2217),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-19 12:10:42.000
36,66410,node-226,action,start,1076874863,1,wait  (command 2201),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-16 01:24:23.000
37,64231,node-224,action,start,1076871482,1,wait  (command 2199),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-16 00:28:02.000
38,61193,node-25,action,start,1076865929,1,boot  (command 2183),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-15 22:55:29.000
39,59888,node-105,action,start,1076865608,1,wait  (command 2189),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-15 22:50:08.000
40,106268,node-178,action,start,1077739942,1,wait  (command 2302),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-26 01:42:22.000
41,95046,node-118,action,start,1077647123,1,wait  (command 2270),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-24 23:55:23.000
42,93084,node-239,action,start,1077645240,1,wait  (command 2257),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-24 23:24:00.000
43,93083,node-242,action,start,1077645240,1,boot  (command 2257),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-24 23:24:00.000
44,137423,node-28,action,start,1077809713,1,boot  (command 2316),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-26 21:05:13.000
45,138728,node-25,action,start,1077810165,1,boot  (command 2316),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-26 21:12:45.000
46,139640,node-120,action,start,1077810494,1,wait  (command 2322),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-26 21:18:14.000
47,143923,node-195,action,start,1077816813,1,wait  (command 2354),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-26 23:03:33.000
48,146443,node-123,action,start,1077817656,1,wait  (command 2347),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-26 23:17:36.000
49,157583,node-196,action,start,1077873102,1,boot  (command 2368),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-27 14:41:42.000
50,160960,node-3,action,start,1077875823,1,boot  (command 2392),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-27 15:27:03.000
51,162927,node-2,action,start,1077877886,1,boot  (command 2406),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-27 16:01:26.000
52,163146,node-206,action,start,1077878060,1,boot  (command 2417),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-27 16:04:20.000
53,164418,node-45,action,start,1077881141,1,boot  (command 2423),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-27 16:55:41.000
54,165793,node-89,action,start,1077881713,1,wait  (command 2424),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-27 17:05:13.000
55,177730,node-200,action,start,1077894469,1,wait  (command 2449),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-27 20:37:49.000
56,185712,node-60,action,start,1077902963,1,boot  (command 2464),E4,boot  (command <*>),0,normal,HPC_2k,2004-02-27 22:59:23.000
57,186693,node-125,action,start,1077903223,1,wait  (command 2468),E45,wait  (command <*>),0,normal,HPC_2k,2004-02-27 23:03:43.000
58,222526,node-206,action,start,1078490898,1,boot  (command 2520),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-05 18:18:18.000
59,217214,node-241,action,start,1078468230,1,wait  (command 2517),E45,wait  (command <*>),0,normal,HPC_2k,2004-03-05 12:00:30.000
60,217168,node-248,action,start,1078468218,1,boot  (command 2517),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-05 12:00:18.000
61,217100,node-148,action,start,1078468203,1,wait  (command 2511),E45,wait  (command <*>),0,normal,HPC_2k,2004-03-05 12:00:03.000
62,217007,node-179,action,start,1078468187,1,wait  (command 2513),E45,wait  (command <*>),0,normal,HPC_2k,2004-03-05 11:59:47.000
63,214978,node-161,action,start,1078467481,1,boot  (command 2514),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-05 11:48:01.000
64,201811,node-76,action,start,1078162366,1,wait  (command 2484),E45,wait  (command <*>),0,normal,HPC_2k,2004-03-01 23:02:46.000
65,264003,node-176,action,start,1079249218,1,boot  (command 2625),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-14 12:56:58.000
66,256981,node-58,action,start,1079070194,1,wait  (command 2607),E45,wait  (command <*>),0,normal,HPC_2k,2004-03-12 11:13:14.000
67,256874,node-90,action,start,1079070177,1,boot  (command 2616),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-12 11:12:57.000
68,256848,node-185,action,start,1079070175,1,boot  (command 2619),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-12 11:12:55.000
69,256223,node-82,action,start,1079070000,1,boot  (command 2616),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-12 11:10:00.000
70,256162,node-80,action,start,1079069993,1,boot  (command 2616),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-12 11:09:53.000
71,254534,node-129,action,start,1079069377,1,boot  (command 2602),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-12 10:59:37.000
72,247848,node-157,action,start,1079049069,1,wait  (command 2582),E45,wait  (command <*>),0,normal,HPC_2k,2004-03-12 05:21:09.000
73,245027,node-175,action,start,1079048210,1,boot  (command 2584),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-12 05:06:50.000
74,236520,node-43,action,start,1079015170,1,wait  (command 2549),E45,wait  (command <*>),0,normal,HPC_2k,2004-03-11 19:56:10.000
75,235608,node-34,action,start,1079014799,1,boot  (command 2550),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-11 19:49:59.000
76,235599,node-2,action,start,1079014796,1,boot  (command 2548),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-11 19:49:56.000
77,233507,node-227,action,start,1079012648,1,boot  (command 2538),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-11 19:14:08.000
78,274455,node-100,action,start,1079616550,1,wait  (command 2683),E45,wait  (command <*>),0,normal,HPC_2k,2004-03-18 18:59:10.000
79,276059,node-190,action,start,1079617054,1,boot  (command 2686),E4,boot  (command <*>),0,normal,HPC_2k,2004-03-18 19:07:34.000
80,276581,node-120,action,start,1079617260,1,wait  (command 2682),E45,wait  (command <*>),0,normal,HPC_2k,2004-03-18 19:11:00.000
81,294548,node-216,action,start,1081392152,1,wait  (command 2763),E45,wait  (command <*>),0,normal,HPC_2k,2004-04-08 08:12:32.000
82,301979,node-1,action,start,1081998493,1,wait  (command 2800),E45,wait  (command <*>),0,normal,HPC_2k,2004-04-15 08:38:13.000
83,300380,node-109,action,start,1081880821,1,boot  (command 2790),E4,boot  (command <*>),0,normal,HPC_2k,2004-04-13 23:57:01.000
84,307531,node-9,action,start,1082038490,1,wait  (command 2817),E45,wait  (command <*>),0,normal,HPC_2k,2004-04-15 19:44:50.000
85,307999,node-112,action,start,1082038630,1,wait  (command 2823),E45,wait  (command <*>),0,normal,HPC_2k,2004-04-15 19:47:10.000
86,309387,node-27,action,start,1082039069,1,wait  (command 2817),E45,wait  (command <*>),0,normal,HPC_2k,2004-04-15 19:54:29.000
87,326403,node-150,action,start,1083202417,1,wait  (command 2900),E45,wait  (command <*>),0,normal,HPC_2k,2004-04-29 07:03:37.000
88,324109,node-232,action,start,1083200791,1,wait  (command 2885),E45,wait  (command <*>),0,normal,HPC_2k,2004-04-29 06:36:31.000
89,338620,node-237,action,start,1083304818,1,wait  (command 2909),E45,wait  (command <*>),0,normal,HPC_2k,2004-04-30 11:30:18.000
90,362348,node-220,action,start,1085071596,1,boot  (command 2960),E4,boot  (command <*>),0,normal,HPC_2k,2004-05-20 22:16:36.000
91,360562,node-229,action,start,1085071024,1,wait  (command 2963),E45,wait  (command <*>),0,normal,HPC_2k,2004-05-20 22:07:04.000
92,374171,node-26,action,start,1086022370,1,boot  (command 2999),E4,boot  (command <*>),0,normal,HPC_2k,2004-05-31 22:22:50.000
93,373784,node-147,action,start,1085979758,1,halt  (command 2992),E19,halt  (command <*>),0,normal,HPC_2k,2004-05-31 10:32:38.000
94,402485,node-205,action,start,1089897107,1,wait  (command 3087),E45,wait  (command <*>),0,normal,HPC_2k,2004-07-15 18:41:47.000
95,402097,node-73,action,start,1089897051,1,wait  (command 3079),E45,wait  (command <*>),0,normal,HPC_2k,2004-07-15 18:40:51.000
96,401359,node-34,action,start,1089896823,1,wait  (command 3078),E45,wait  (command <*>),0,normal,HPC_2k,2004-07-15 18:37:03.000
97,429535,node-124,action,start,1095347018,1,wait  (command 3141),E45,wait  (command <*>),0,normal,HPC_2k,2004-09-16 20:33:38.000
98,426656,node-33,action,start,1095346191,1,boot  (command 3138),E4,boot  (command <*>),0,normal,HPC_2k,2004-09-16 20:19:51.000
99,437355,node-19,action,start,1096995511,1,boot  (command 3169),E4,boot  (command <*>),0,normal,HPC_2k,2004-10-05 22:28:31.000
100,437261,node-10,action,start,1096995263,1,boot  (command 3169),E4,boot  (command <*>),0,normal,HPC_2k,2004-10-05 22:24:23.000
101,443445,node-80,action,start,1098389763,1,boot  (command 3194),E4,boot  (command <*>),0,normal,HPC_2k,2004-10-22 01:46:03.000
102,19244,node-194,action,start,1100785255,1,boot  (command 3320),E4,boot  (command <*>),0,normal,HPC_2k,2004-11-18 19:10:55.000
103,19258,node-167,action,start,1100785255,1,boot  (command 3318),E4,boot  (command <*>),0,normal,HPC_2k,2004-11-18 19:10:55.000
104,20797,node-188,action,start,1100785975,1,boot  (command 3317),E4,boot  (command <*>),0,normal,HPC_2k,2004-11-18 19:22:55.000
105,21457,node-216,action,start,1100786301,1,wait  (command 3319),E45,wait  (command <*>),0,normal,HPC_2k,2004-11-18 19:28:21.000
106,32761,node-17,action,start,1102475613,1,wait  (command 3334),E45,wait  (command <*>),0,normal,HPC_2k,2004-12-08 08:43:33.000
107,32609,node-10,action,start,1102475187,1,boot  (command 3334),E4,boot  (command <*>),0,normal,HPC_2k,2004-12-08 08:36:27.000
108,70287,node-70,action,start,1108647096,1,wait  (command 3412),E45,wait  (command <*>),0,normal,HPC_2k,2005-02-17 19:01:36.000
109,70708,node-115,action,start,1108647304,1,boot  (command 3413),E4,boot  (command <*>),0,normal,HPC_2k,2005-02-17 19:05:04.000
110,112147,node-82,action,start,1111072078,1,boot  (command 3473),E4,boot  (command <*>),0,normal,HPC_2k,2005-03-17 20:37:58.000
111,136495,node-150,action,start,1111865182,1,wait  (command 3523),E45,wait  (command <*>),0,normal,HPC_2k,2005-03-27 00:56:22.000
112,136459,node-208,action,start,1111865169,1,wait  (command 3525),E45,wait  (command <*>),0,normal,HPC_2k,2005-03-27 00:56:09.000
113,134514,node-254,action,start,1111862672,1,wait  (command 3519),E45,wait  (command <*>),0,normal,HPC_2k,2005-03-27 00:14:32.000
114,134299,node-251,action,start,1111862280,1,boot  (command 3519),E4,boot  (command <*>),0,normal,HPC_2k,2005-03-27 00:08:00.000
115,128650,node-231,action,start,1111855559,1,boot  (command 3512),E4,boot  (command <*>),0,normal,HPC_2k,2005-03-26 22:15:59.000
116,163965,node-195,action,start,1114095465,1,boot  (command 3579),E4,boot  (command <*>),0,normal,HPC_2k,2005-04-21 20:27:45.000
117,164990,node-114,action,start,1114095917,1,boot  (command 3572),E4,boot  (command <*>),0,normal,HPC_2k,2005-04-21 20:35:17.000
118,165357,node-246,action,start,1114095982,1,boot  (command 3580),E4,boot  (command <*>),0,normal,HPC_2k,2005-04-21 20:36:22.000
119,208690,node-65,action,start,1116601343,1,wait  (command 3612),E45,wait  (command <*>),0,normal,HPC_2k,2005-05-20 20:32:23.000
120,208761,node-147,action,start,1116601359,1,boot  (command 3615),E4,boot  (command <*>),0,normal,HPC_2k,2005-05-20 20:32:39.000
121,210411,node-40,action,start,1116601982,1,wait  (command 3609),E45,wait  (command <*>),0,normal,HPC_2k,2005-05-20 20:43:02.000
122,211063,node-18,action,start,1116604606,1,boot  (command 3624),E4,boot  (command <*>),0,normal,HPC_2k,2005-05-20 21:26:46.000
123,212813,node-239,action,start,1116611765,1,wait  (command 3649),E45,wait  (command <*>),0,normal,HPC_2k,2005-05-20 23:26:05.000
124,213303,node-83,action,start,1116611976,1,boot  (command 3639),E4,boot  (command <*>),0,normal,HPC_2k,2005-05-20 23:29:36.000
125,252407,node-46,action,start,1118929077,1,wait  (command 3690),E45,wait  (command <*>),0,normal,HPC_2k,2005-06-16 19:07:57.000
126,252602,node-145,action,start,1118929116,1,boot  (command 3696),E4,boot  (command <*>),0,normal,HPC_2k,2005-06-16 19:08:36.000
127,252613,node-174,action,start,1118929118,1,wait  (command 3698),E45,wait  (command <*>),0,normal,HPC_2k,2005-06-16 19:08:38.000
128,276418,node-84,action,start,1119845504,1,wait  (command 3709),E45,wait  (command <*>),0,normal,HPC_2k,2005-06-27 09:41:44.000
129,55715,node-89,action,start,1126813838,1,wait  (command 3837),E45,wait  (command <*>),0,normal,HPC_2k,2005-09-16 01:20:38.000
130,55940,node-255,action,start,1126814027,1,wait  (command 3847),E45,wait  (command <*>),0,normal,HPC_2k,2005-09-16 01:23:47.000
131,173915,node-59,action,start,1131220838,1,boot  (command 3951),E4,boot  (command <*>),0,normal,HPC_2k,2005-11-06 01:30:38.000
132,172312,node-27,action,start,1131216880,1,boot  (command 3928),E4,boot  (command <*>),0,normal,HPC_2k,2005-11-06 00:24:40.000
133,170334,node-161,action,start,1131215738,1,boot  (command 3939),E4,boot  (command <*>),0,normal,HPC_2k,2005-11-06 00:05:38.000
134,191604,node-13,action,start,1131239917,1,boot  (command 3964),E4,boot  (command <*>),0,normal,HPC_2k,2005-11-06 06:48:37.000
135,193032,node-46,action,start,1131241563,1,wait  (command 3973),E45,wait  (command <*>),0,normal,HPC_2k,2005-11-06 07:16:03.000
136,194265,node-186,action,start,1131242308,1,wait  (command 3981),E45,wait  (command <*>),0,normal,HPC_2k,2005-11-06 07:28:28.000
137,194301,node-185,action,start,1131242355,1,wait  (command 3981),E45,wait  (command <*>),0,normal,HPC_2k,2005-11-06 07:29:15.000
138,220288,node-194,action,start,1132159257,1,boot  (command 4024),E4,boot  (command <*>),0,normal,HPC_2k,2005-11-16 22:10:57.000
139,288620,node-150,action,start,1134671414,1,wait  (command 4061),E45,wait  (command <*>),0,normal,HPC_2k,2005-12-16 00:00:14.000
140,329026,node-111,action,start,1140100216,1,wait  (command 4110),E45,wait  (command <*>),0,normal,HPC_2k,2006-02-16 20:00:16.000
141,328665,node-234,action,start,1140100074,1,boot  (command 4118),E4,boot  (command <*>),0,normal,HPC_2k,2006-02-16 19:57:54.000
142,328498,node-218,action,start,1140099980,1,wait  (command 4116),E45,wait  (command <*>),0,normal,HPC_2k,2006-02-16 19:56:20.000
143,328095,node-194,action,start,1140099718,1,wait  (command 4117),E45,wait  (command <*>),0,normal,HPC_2k,2006-02-16 19:51:58.000
144,328040,node-67,action,start,1140099563,1,boot  (command 4109),E4,boot  (command <*>),0,normal,HPC_2k,2006-02-16 19:49:23.000
145,374387,node-116,action,start,1141676760,1,wait  (command 4145),E45,wait  (command <*>),0,normal,HPC_2k,2006-03-07 01:56:00.000
146,397088,node-148,action,start,1142527921,1,boot  (command 4176),E4,boot  (command <*>),0,normal,HPC_2k,2006-03-16 22:22:01.000
147,397742,node-56,action,start,1142528184,1,boot  (command 4170),E4,boot  (command <*>),0,normal,HPC_2k,2006-03-16 22:26:24.000
148,397899,node-150,action,start,1142528212,1,wait  (command 4176),E45,wait  (command <*>),0,normal,HPC_2k,2006-03-16 22:26:52.000
149,398541,node-154,action,start,1142528540,1,wait  (command 4176),E45,wait  (command <*>),0,normal,HPC_2k,2006-03-16 22:32:20.000
150,401417,node-129,action,start,1142537875,1,bootGenvmunix  (command 4185),E6,bootGenvmunix  (command <*>),0,normal,HPC_2k,2006-03-17 01:07:55.000
151,460486,node-181,action,start,1145552039,1,boot  (command 4223),E4,boot  (command <*>),0,normal,HPC_2k,2006-04-20 22:23:59.000
152,460596,node-143,action,start,1145552056,1,wait  (command 4221),E45,wait  (command <*>),0,normal,HPC_2k,2006-04-20 22:24:16.000
153,461572,node-116,action,start,1145552379,1,wait  (command 4219),E45,wait  (command <*>),0,normal,HPC_2k,2006-04-20 22:29:39.000
154,2566692,1897,boot_cmd,success,1073991950,1,Command has completed successfully,E12,Command has completed successfully,0,normal,HPC_2k,2004-01-13 16:35:50.000
155,2614626,2001,boot_cmd,success,1074752045,1,Command has completed successfully,E12,Command has completed successfully,0,normal,HPC_2k,2004-01-22 11:44:05.000
156,178176,2428,boot_cmd,success,1077894737,1,Command has completed successfully,E12,Command has completed successfully,0,normal,HPC_2k,2004-02-27 20:42:17.000
157,247935,2568,boot_cmd,success,1079049124,1,Command has completed successfully,E12,Command has completed successfully,0,normal,HPC_2k,2004-03-12 05:22:04.000
158,274749,2685,boot_cmd,success,1079616724,1,Command has completed successfully,E12,Command has completed successfully,0,normal,HPC_2k,2004-03-18 19:02:04.000
159,301526,2797,boot_cmd,success,1081993794,1,Command has completed successfully,E12,Command has completed successfully,0,normal,HPC_2k,2004-04-15 07:19:54.000
160,427258,3142,boot_cmd,success,1095346421,1,Command has completed successfully,E12,Command has completed successfully,0,normal,HPC_2k,2004-09-16 20:23:41.000
161,91679,3440,boot_cmd,success,1109728975,1,Command has completed successfully,E12,Command has completed successfully,0,normal,HPC_2k,2005-03-02 07:32:55.000
162,130127,3501,boot_cmd,success,1111856688,1,Command has completed successfully,E12,Command has completed successfully,0,normal,HPC_2k,2005-03-26 22:34:48.000
163,240717,3664,boot_cmd,success,1118282468,1,Command has completed successfully,E12,Command has completed successfully,0,normal,HPC_2k,2005-06-09 07:31:08.000
164,2599204,1971,boot_cmd,new,1074297378,1,Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>,0,normal,HPC_2k,2004-01-17 05:26:18.000
165,2599217,1973,boot_cmd,new,1074297389,1,Targeting domains:node-D4 and nodes:node-[136-159] child of command 1964,E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>,0,normal,HPC_2k,2004-01-17 05:26:29.000
166,70088,2206,shutdown_cmd,new,1077059790,1,Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],E43,Targeting domains:node-D<*>and nodes:node-<*>,0,normal,HPC_2k,2004-02-18 04:46:30.000
167,162883,2414,boot_cmd,new,1077877853,1,Targeting domains:node-D4 and nodes:node-[128-135] child of command 2401,E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>,0,normal,HPC_2k,2004-02-27 16:00:53.000
168,210240,2490,boot_cmd,new,1078453922,1,Targeting domains:node-D0 and nodes:node-[8-31] child of command 2489,E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>,0,normal,HPC_2k,2004-03-05 08:02:02.000
169,451683,3223,boot_cmd,new,1098825780,1,Targeting domains:node-D0 and nodes:node-0,E43,Targeting domains:node-D<*>and nodes:node-<*>,0,normal,HPC_2k,2004-10-27 02:53:00.000
170,38390,3344,boot_cmd,new,1104070308,1,Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],E43,Targeting domains:node-D<*>and nodes:node-<*>,0,normal,HPC_2k,2004-12-26 19:41:48.000
171,128520,3491,boot_cmd,new,1111855423,1,Targeting domains:node-D2 and nodes:node-[64-95] child of command 3488,E42,Targeting domains:node-D<*> and nodes:node-[<*>-<*>] child of command <*>,0,normal,HPC_2k,2005-03-26 22:13:43.000
172,276415,3709,boot_cmd,new,1119845316,1,Targeting domains:node-D2 and nodes:node-84,E43,Targeting domains:node-D<*>and nodes:node-<*>,0,normal,HPC_2k,2005-06-27 09:38:36.000
173,51338,node-3,node,psu,1106496000,1,psu failure\ ambient=28,E35,psu failure\ ambient=<*>,6,hardware_issue,HPC_2k,2005-01-23 21:30:00.000
174,191898,node-238,node,psu,1131240275,1,psu failure\ ambient=28,E35,psu failure\ ambient=<*>,6,hardware_issue,HPC_2k,2005-11-06 06:54:35.000
175,236618,node-104,node,psu,1132434391,1,psu failure\ ambient=28,E35,psu failure\ ambient=<*>,6,hardware_issue,HPC_2k,2005-11-20 02:36:31.000
176,341834,node-118,node,psu,1140312091,1,psu failure\ ambient=28,E35,psu failure\ ambient=<*>,6,hardware_issue,HPC_2k,2006-02-19 06:51:31.000
177,347972,node-118,node,psu,1140430530,1,psu failure\ ambient=31,E35,psu failure\ ambient=<*>,6,hardware_issue,HPC_2k,2006-02-20 15:45:30.000
178,147394,Interconnect-0N00,switch_module,temphigh,1129812510,1,Temperature (41C) exceeds warning threshold,E44,Temperature (<*>C) exceeds warning threshold,3,performance_issue,HPC_2k,2005-10-20 18:18:30.000
179,147494,Interconnect-0N00,switch_module,temphigh,1129813980,1,Temperature (41C) exceeds warning threshold,E44,Temperature (<*>C) exceeds warning threshold,3,performance_issue,HPC_2k,2005-10-20 18:43:00.000
180,2594656,node-D0,clusterfilesystem,clusterfilesystem.no_server,1074279038,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage234,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>,0,normal,HPC_2k,2004-01-17 00:20:38.000
181,2609055,node-D7,clusterfilesystem,clusterfilesystem.no_server,1074464654,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage1412,E10,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>,0,normal,HPC_2k,2004-01-19 03:54:14.000
