LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
40,-,1131566461,2005.11.09,tbird-admin1,Nov,9,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,16,181
41,-,1131566461,2005.11.09,tbird-admin1,Nov,9,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,17,181
42,-,1131566461,2005.11.09,tbird-admin1,Nov,9,12:01:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,18,181
34,-,1131566461,2005.11.09,en257,Nov,9,12:01:01,en257/en257,crond(pam_unix),8950.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,19,181
22,-,1131566461,2005.11.09,dn754,Nov,9,12:01:01,dn754/dn754,crond(pam_unix),2913.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,20,181
31,-,1131566461,2005.11.09,eadmin2,Nov,9,12:01:01,src@eadmin2,crond(pam_unix),12636.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,21,181
20,-,1131566461,2005.11.09,dn731,Nov,9,12:01:01,dn731/dn731,crond(pam_unix),2916.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,22,181
21,-,1131566461,2005.11.09,dn731,Nov,9,12:01:01,dn731/dn731,crond,2917.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,23,181
3,-,1131566461,2005.11.09,dn228,Nov,9,12:01:01,dn228/dn228,crond,2916.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,24,181
4,-,1131566461,2005.11.09,dn261,Nov,9,12:01:01,dn261/dn261,crond(pam_unix),2907.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,25,181
5,-,1131566461,2005.11.09,dn261,Nov,9,12:01:01,dn261/dn261,crond(pam_unix),2907.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,26,181
6,-,1131566461,2005.11.09,dn261,Nov,9,12:01:01,dn261/dn261,crond,2908.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,27,181
7,-,1131566461,2005.11.09,dn3,Nov,9,12:01:01,dn3/dn3,crond(pam_unix),2907.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,28,181
8,-,1131566461,2005.11.09,dn3,Nov,9,12:01:01,dn3/dn3,crond(pam_unix),2907.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,29,181
9,-,1131566461,2005.11.09,dn3,Nov,9,12:01:01,dn3/dn3,crond,2908.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,30,181
10,-,1131566461,2005.11.09,dn596,Nov,9,12:01:01,dn596/dn596,crond(pam_unix),2727.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,31,181
2,-,1131566461,2005.11.09,dn228,Nov,9,12:01:01,dn228/dn228,crond(pam_unix),2915.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,32,181
12,-,1131566461,2005.11.09,dn596,Nov,9,12:01:01,dn596/dn596,crond,2728.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,33,181
13,-,1131566461,2005.11.09,dn700,Nov,9,12:01:01,dn700/dn700,crond(pam_unix),2912.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,34,181
14,-,1131566461,2005.11.09,dn700,Nov,9,12:01:01,dn700/dn700,crond(pam_unix),2912.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,35,181
15,-,1131566461,2005.11.09,dn700,Nov,9,12:01:01,dn700/dn700,crond,2913.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,36,181
16,-,1131566461,2005.11.09,dn73,Nov,9,12:01:01,dn73/dn73,crond(pam_unix),2917.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,37,181
17,-,1131566461,2005.11.09,dn73,Nov,9,12:01:01,dn73/dn73,crond(pam_unix),2917.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,38,181
18,-,1131566461,2005.11.09,dn73,Nov,9,12:01:01,dn73/dn73,crond,2918.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,39,181
19,-,1131566461,2005.11.09,dn731,Nov,9,12:01:01,dn731/dn731,crond(pam_unix),2916.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,40,181
11,-,1131566461,2005.11.09,dn596,Nov,9,12:01:01,dn596/dn596,crond(pam_unix),2727.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:01.000,2025-11-09 12:01:01,12,6,9,11,1,1,0,0.0,41,181
43,-,1131566462,2005.11.09,#8#,Nov,9,12:01:02,#8#/#8#,crond(pam_unix),23469.0,session closed for user root,E117,session closed for user root,1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:02.000,2025-11-09 12:01:02,12,6,9,11,1,1,0,1.0,42,181
44,-,1131566462,2005.11.09,#8#,Nov,9,12:01:02,#8#/#8#,crond(pam_unix),23469.0,session opened for user root by (uid=0),E118,session opened for user root by (uid=0),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:02.000,2025-11-09 12:01:02,12,6,9,11,1,1,0,0.0,43,181
45,-,1131566462,2005.11.09,#8#,Nov,9,12:01:02,#8#/#8#,crond,23474.0,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly),1,security_anomaly,Thunderbird_2k,2025-11-09 12:01:02.000,2025-11-09 12:01:02,12,6,9,11,1,1,0,0.0,44,181
49,-,1131566463,2005.11.09,tbird-admin1,Nov,9,12:01:03,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:03.000,2025-11-09 12:01:03,12,6,9,11,1,1,0,1.0,45,181
48,-,1131566463,2005.11.09,dn736,Nov,9,12:01:03,dn736/dn736,ntpd,1119.0,"synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:03.000,2025-11-09 12:01:03,12,6,9,11,1,1,0,0.0,46,181
46,-,1131566463,2005.11.09,cn142,Nov,9,12:01:03,cn142/cn142,ntpd,7467.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:03.000,2025-11-09 12:01:03,12,6,9,11,1,1,0,0.0,47,181
47,-,1131566463,2005.11.09,dn1021,Nov,9,12:01:03,dn1021/dn1021,ntpd,32563.0,"synchronized to 10.100.28.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:03.000,2025-11-09 12:01:03,12,6,9,11,1,1,0,0.0,48,181
50,-,1131566467,2005.11.09,cn46,Nov,9,12:01:07,cn46/cn46,ntpd,15291.0,"synchronized to 10.100.16.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:07.000,2025-11-09 12:01:07,12,6,9,11,1,1,0,4.0,49,181
51,-,1131566467,2005.11.09,tbird-admin1,Nov,9,12:01:07,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:07.000,2025-11-09 12:01:07,12,6,9,11,1,1,0,0.0,50,181
52,-,1131566467,2005.11.09,tbird-admin1,Nov,9,12:01:07,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:07.000,2025-11-09 12:01:07,12,6,9,11,1,1,0,0.0,51,181
53,-,1131566468,2005.11.09,tbird-admin1,Nov,9,12:01:08,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C8] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:08.000,2025-11-09 12:01:08,12,6,9,11,1,1,0,1.0,52,181
54,-,1131566470,2005.11.09,bn441,Nov,9,12:01:10,bn441/bn441,ntpd,28489.0,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:10.000,2025-11-09 12:01:10,12,6,9,11,1,1,0,2.0,53,181
55,-,1131566470,2005.11.09,cn661,Nov,9,12:01:10,cn661/cn661,ntpd,18505.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:10.000,2025-11-09 12:01:10,12,6,9,11,1,1,0,0.0,54,181
56,-,1131566470,2005.11.09,tbird-sm1,Nov,9,12:01:10,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,0,normal,Thunderbird_2k,2025-11-09 12:01:10.000,2025-11-09 12:01:10,12,6,9,11,1,1,0,0.0,55,181
57,-,1131566471,2005.11.09,dn393,Nov,9,12:01:11,dn393/dn393,ntpd,4696.0,"synchronized to 10.100.26.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:11.000,2025-11-09 12:01:11,12,6,9,11,1,1,0,1.0,56,181
58,-,1131566472,2005.11.09,tbird-admin1,Nov,9,12:01:12,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B3] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:12.000,2025-11-09 12:01:12,12,6,9,11,1,1,0,1.0,57,181
61,-,1131566473,2005.11.09,tbird-admin1,Nov,9,12:01:13,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_D5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:13.000,2025-11-09 12:01:13,12,6,9,11,1,1,0,1.0,58,181
59,-,1131566473,2005.11.09,cn379,Nov,9,12:01:13,cn379/cn379,ntpd,10573.0,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:13.000,2025-11-09 12:01:13,12,6,9,11,1,1,0,0.0,59,181
60,-,1131566473,2005.11.09,cn733,Nov,9,12:01:13,cn733/cn733,ntpd,27716.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:13.000,2025-11-09 12:01:13,12,6,9,11,1,1,0,0.0,60,181
64,-,1131566474,2005.11.09,tbird-sm1,Nov,9,12:01:14,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:1482]: No configuration change required,0,normal,Thunderbird_2k,2025-11-09 12:01:14.000,2025-11-09 12:01:14,12,6,9,11,1,1,0,1.0,61,181
63,-,1131566474,2005.11.09,tbird-sm1,Nov,9,12:01:14,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change,0,normal,Thunderbird_2k,2025-11-09 12:01:14.000,2025-11-09 12:01:14,12,6,9,11,1,1,0,0.0,62,181
62,-,1131566474,2005.11.09,cn925,Nov,9,12:01:14,cn925/cn925,ntpd,29072.0,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:14.000,2025-11-09 12:01:14,12,6,9,11,1,1,0,0.0,63,181
65,-,1131566475,2005.11.09,tbird-admin1,Nov,9,12:01:15,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A1] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:15.000,2025-11-09 12:01:15,12,6,9,11,1,1,0,1.0,64,181
66,-,1131566475,2005.11.09,tbird-admin1,Nov,9,12:01:15,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C2] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:15.000,2025-11-09 12:01:15,12,6,9,11,1,1,0,0.0,65,181
67,-,1131566476,2005.11.09,tbird-admin1,Nov,9,12:01:16,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B1] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:16.000,2025-11-09 12:01:16,12,6,9,11,1,1,0,1.0,66,181
68,-,1131566477,2005.11.09,cn543,Nov,9,12:01:17,cn543/cn543,ntpd,13785.0,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:17.000,2025-11-09 12:01:17,12,6,9,11,1,1,0,1.0,67,181
69,-,1131566477,2005.11.09,tbird-admin1,Nov,9,12:01:17,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A3] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:17.000,2025-11-09 12:01:17,12,6,9,11,1,1,0,0.0,68,181
70,-,1131566477,2005.11.09,tbird-admin1,Nov,9,12:01:17,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A5] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:17.000,2025-11-09 12:01:17,12,6,9,11,1,1,0,0.0,69,181
71,-,1131566478,2005.11.09,cn551,Nov,9,12:01:18,cn551/cn551,ntpd,15308.0,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:18.000,2025-11-09 12:01:18,12,6,9,11,1,1,0,1.0,70,181
72,-,1131566478,2005.11.09,dn360,Nov,9,12:01:18,dn360/dn360,ntpd,30984.0,"synchronized to 10.100.28.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:18.000,2025-11-09 12:01:18,12,6,9,11,1,1,0,0.0,71,181
73,-,1131566478,2005.11.09,tbird-admin1,Nov,9,12:01:18,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:18.000,2025-11-09 12:01:18,12,6,9,11,1,1,0,0.0,72,181
74,-,1131566479,2005.11.09,#8#,Nov,9,12:01:19,#8#/#8#,sshd,19023.0,Local disconnected: Connection closed.,E67,Local disconnected: Connection closed.,0,normal,Thunderbird_2k,2025-11-09 12:01:19.000,2025-11-09 12:01:19,12,6,9,11,1,1,0,1.0,73,181
75,-,1131566479,2005.11.09,#8#,Nov,9,12:01:19,#8#/#8#,sshd,19023.0,connection lost: 'Connection closed.',E30,connection lost: 'Connection closed.',1,network_anomaly,Thunderbird_2k,2025-11-09 12:01:19.000,2025-11-09 12:01:19,12,6,9,11,1,1,0,0.0,74,181
76,-,1131566479,2005.11.09,bn431,Nov,9,12:01:19,bn431/bn431,ntpd,28723.0,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:19.000,2025-11-09 12:01:19,12,6,9,11,1,1,0,0.0,75,181
78,-,1131566480,2005.11.09,tbird-admin1,Nov,9,12:01:20,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B6] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:20.000,2025-11-09 12:01:20,12,6,9,11,1,1,0,1.0,76,181
77,-,1131566480,2005.11.09,dn77,Nov,9,12:01:20,dn77/dn77,ntpd,9978.0,"synchronized to 10.100.24.250, stratum 3",E125,"synchronized to <*>, stratum <*>",0,normal,Thunderbird_2k,2025-11-09 12:01:20.000,2025-11-09 12:01:20,12,6,9,11,1,1,0,0.0,77,181
79,-,1131566482,2005.11.09,tbird-admin1,Nov,9,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B2] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:22.000,2025-11-09 12:01:22,12,6,9,11,1,1,0,2.0,78,181
80,-,1131566482,2005.11.09,tbird-admin1,Nov,9,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C1] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:22.000,2025-11-09 12:01:22,12,6,9,11,1,1,0,0.0,79,181
81,-,1131566482,2005.11.09,tbird-admin1,Nov,9,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C4] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:22.000,2025-11-09 12:01:22,12,6,9,11,1,1,0,0.0,80,181
82,-,1131566482,2005.11.09,tbird-admin1,Nov,9,12:01:22,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_D7] datasource,E32,data_thread() got not answer from any [Thunderbird_<*>] datasource,0,normal,Thunderbird_2k,2025-11-09 12:01:22.000,2025-11-09 12:01:22,12,6,9,11,1,1,0,0.0,81,181
