LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
1445,2553308,Interconnect-1N03,switch_module,error,1072638589,1,Link error,E21,Link error,4,network_anomaly,HPC_2k,2003-12-29 00:39:49.000,2003-12-29 00:39:49,0,0,29,12,0,0,1,5449.0,13,1
1444,2553390,Interconnect-1N03,switch_module,error,1072641409,1,Link ok,E25,Link ok,0,normal,HPC_2k,2003-12-29 01:26:49.000,2003-12-29 01:26:49,1,0,29,12,0,0,1,2820.0,14,1
1443,2553727,Interconnect-1N03,switch_module,error,1072642564,1,Link in reset,E24,Link in reset,4,network_anomaly,HPC_2k,2003-12-29 01:46:04.000,2003-12-29 01:46:04,1,0,29,12,0,0,1,1155.0,15,1
1442,2553872,Interconnect-0N03,switch_module,error,1072642871,1,Link ok,E25,Link ok,0,normal,HPC_2k,2003-12-29 01:51:11.000,2003-12-29 01:51:11,1,0,29,12,0,0,1,307.0,16,1
716,2554666,gige5,gige,temperature,1072670036,1,warning,E46,warning,0,normal,HPC_2k,2003-12-29 09:23:56.000,2003-12-29 09:23:56,9,0,29,12,0,1,0,27165.0,17,1
715,2554674,gige7,gige,temperature,1072671675,1,normal,E31,normal,0,normal,HPC_2k,2003-12-29 09:51:15.000,2003-12-29 09:51:15,9,0,29,12,0,1,0,1639.0,18,1
714,2555058,gige7,gige,temperature,1072734978,1,normal,E31,normal,0,normal,HPC_2k,2003-12-30 03:26:18.000,2003-12-30 03:26:18,3,1,30,12,0,0,1,63303.0,19,1
1440,2556365,Interconnect-1N01,switch_module,error,1072790564,1,Link in reset,E24,Link in reset,4,network_anomaly,HPC_2k,2003-12-30 18:52:44.000,2003-12-30 18:52:44,18,1,30,12,0,0,0,55586.0,20,1
713,2556843,gige5,gige,temperature,1072878243,1,warning,E46,warning,0,normal,HPC_2k,2003-12-31 19:14:03.000,2003-12-31 19:14:03,19,2,31,12,0,0,0,87679.0,21,1
373,2556866,full,partition,status,1072881064,1,running,E38,running,0,normal,HPC_2k,2003-12-31 20:01:04.000,2003-12-31 20:01:04,20,2,31,12,0,0,0,2821.0,22,1
1439,2557080,Interconnect-1N01,switch_module,error,1072913499,1,Link error,E21,Link error,4,network_anomaly,HPC_2k,2004-01-01 05:01:39.000,2004-01-01 05:01:39,5,3,1,1,0,0,1,32435.0,23,1
1438,2557405,Interconnect-1T01,switch_module,error,1072965457,1,Link error,E21,Link error,4,network_anomaly,HPC_2k,2004-01-01 19:27:37.000,2004-01-01 19:27:37,19,3,1,1,0,0,0,51958.0,24,1
1437,2558082,Interconnect-1N01,switch_module,error,1073073636,1,Link ok,E25,Link ok,0,normal,HPC_2k,2004-01-03 01:30:36.000,2004-01-03 01:30:36,1,5,3,1,1,0,1,108179.0,25,1
1436,2558132,Interconnect-1N01,switch_module,error,1073080543,1,Link ok,E25,Link ok,0,normal,HPC_2k,2004-01-03 03:25:43.000,2004-01-03 03:25:43,3,5,3,1,1,0,1,6907.0,26,1
1435,2558342,Interconnect-1N01,switch_module,error,1073114649,1,Link ok,E25,Link ok,0,normal,HPC_2k,2004-01-03 12:54:09.000,2004-01-03 12:54:09,12,5,3,1,1,1,0,34106.0,27,1
1449,2558415,Interconnect-1T02,switch_module,error,1073119551,1,Link error,E21,Link error,4,network_anomaly,HPC_2k,2004-01-03 14:15:51.000,2004-01-03 14:15:51,14,5,3,1,1,1,0,4902.0,28,1
335,2558879,node-D3,clusterfilesystem,clusterfilesystem.not_served,1073126274,1,ClusterFileSystem: ServerFileSystem domain cluster_root_backup is no longer served by node node-96,E9,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,2,system_failure,HPC_2k,2004-01-03 16:07:54.000,2004-01-03 16:07:54,16,5,3,1,1,1,0,6723.0,29,1
1448,2559445,Interconnect-1N01,switch_module,error,1073128433,1,Link ok,E25,Link ok,0,normal,HPC_2k,2004-01-03 16:43:53.000,2004-01-03 16:43:53,16,5,3,1,1,1,0,2159.0,30,1
711,2559971,gige7,gige,temperature,1073151998,1,normal,E31,normal,0,normal,HPC_2k,2004-01-03 23:16:38.000,2004-01-03 23:16:38,23,5,3,1,1,0,0,23565.0,31,1
1447,2560175,Interconnect-1N01,switch_module,error,1073185824,1,Link ok,E25,Link ok,0,normal,HPC_2k,2004-01-04 08:40:24.000,2004-01-04 08:40:24,8,6,4,1,1,0,0,33826.0,32,1
1434,2560209,Interconnect-1N01,switch_module,error,1073192214,1,Link ok,E25,Link ok,0,normal,HPC_2k,2004-01-04 10:26:54.000,2004-01-04 10:26:54,10,6,4,1,1,1,0,6390.0,33,1
1446,2560289,Interconnect-1N01,switch_module,error,1073206850,1,Link ok,E25,Link ok,0,normal,HPC_2k,2004-01-04 14:30:50.000,2004-01-04 14:30:50,14,6,4,1,1,1,0,14636.0,34,1
1453,2560493,Interconnect-1N01,switch_module,error,1073242467,1,Link in reset,E24,Link in reset,4,network_anomaly,HPC_2k,2004-01-05 00:24:27.000,2004-01-05 00:24:27,0,0,5,1,0,0,1,35617.0,35,1
1452,2560515,Interconnect-1N01,switch_module,error,1073246148,1,Link ok,E25,Link ok,0,normal,HPC_2k,2004-01-05 01:25:48.000,2004-01-05 01:25:48,1,0,5,1,0,0,1,3681.0,36,1
1451,2561093,Interconnect-1N01,switch_module,error,1073345520,1,Link ok,E25,Link ok,0,normal,HPC_2k,2004-01-06 05:02:00.000,2004-01-06 05:02:00,5,1,6,1,0,0,1,99372.0,37,1
379,2561161,full,partition,status,1073359530,1,blocked,E3,blocked,3,performance_issue,HPC_2k,2004-01-06 08:55:30.000,2004-01-06 08:55:30,8,1,6,1,0,0,0,14010.0,38,1
722,2561239,gige4,gige,temperature,1073375350,1,critical,E15,critical,2,system_failure,HPC_2k,2004-01-06 13:19:10.000,2004-01-06 13:19:10,13,1,6,1,0,1,0,15820.0,39,1
721,2561340,gige7,gige,temperature,1073394404,1,normal,E31,normal,0,normal,HPC_2k,2004-01-06 18:36:44.000,2004-01-06 18:36:44,18,1,6,1,0,0,0,19054.0,40,1
378,2561542,full,partition,status,1073427660,1,blocked,E3,blocked,3,performance_issue,HPC_2k,2004-01-07 03:51:00.000,2004-01-07 03:51:00,3,2,7,1,0,0,1,33256.0,41,1
1450,2561694,Interconnect-1N01,switch_module,error,1073459190,1,Link in reset,E24,Link in reset,4,network_anomaly,HPC_2k,2004-01-07 12:36:30.000,2004-01-07 12:36:30,12,2,7,1,0,1,0,31530.0,42,1
720,2562656,gige7,gige,temperature,1073561505,1,normal,E31,normal,0,normal,HPC_2k,2004-01-08 17:01:45.000,2004-01-08 17:01:45,17,3,8,1,0,1,0,102315.0,43,1
719,2562762,node-232,node,temperature,1073579610,1,ambient=30,E2,ambient=<*>,0,normal,HPC_2k,2004-01-08 22:03:30.000,2004-01-08 22:03:30,22,3,8,1,0,0,0,18105.0,44,1
718,2563073,gige7,gige,temperature,1073610711,1,normal,E31,normal,0,normal,HPC_2k,2004-01-09 06:41:51.000,2004-01-09 06:41:51,6,4,9,1,0,0,1,31101.0,45,1
1456,2565070,Interconnect-1N01,switch_module,error,1073911806,1,Link in reset,E24,Link in reset,4,network_anomaly,HPC_2k,2004-01-12 18:20:06.000,2004-01-12 18:20:06,18,0,12,1,0,0,0,301095.0,46,1
1455,2565131,Interconnect-1N01,switch_module,error,1073923347,1,Link in reset,E24,Link in reset,4,network_anomaly,HPC_2k,2004-01-12 21:32:27.000,2004-01-12 21:32:27,21,0,12,1,0,0,0,11541.0,47,1
724,2565183,gige7,gige,temperature,1073933218,1,normal,E31,normal,0,normal,HPC_2k,2004-01-13 00:16:58.000,2004-01-13 00:16:58,0,1,13,1,0,0,1,9871.0,48,1
1454,2566680,Interconnect-1N03,switch_module,error,1073991556,1,Link in reset,E24,Link in reset,4,network_anomaly,HPC_2k,2004-01-13 16:29:16.000,2004-01-13 16:29:16,16,1,13,1,0,1,0,58338.0,49,1
154,2566692,1897,boot_cmd,success,1073991950,1,Command has completed successfully,E12,Command has completed successfully,0,normal,HPC_2k,2004-01-13 16:35:50.000,2004-01-13 16:35:50,16,1,13,1,0,1,0,394.0,50,1
723,2566893,gige7,gige,temperature,1074020818,1,normal,E31,normal,0,normal,HPC_2k,2004-01-14 00:36:58.000,2004-01-14 00:36:58,0,2,14,1,0,0,1,28868.0,51,1
382,2567354,node-147,node,status,1074098611,1,not responding,E32,not responding,0,normal,HPC_2k,2004-01-14 22:13:31.000,2004-01-14 22:13:31,22,2,14,1,0,0,0,77793.0,52,2
383,2567461,node-C0,domain,status,1074098612,1,not responding,E32,not responding,0,normal,HPC_2k,2004-01-14 22:13:32.000,2004-01-14 22:13:32,22,2,14,1,0,0,0,1.0,53,2
384,2567534,node-97,node,status,1074098640,1,configured out,E14,configured out,0,normal,HPC_2k,2004-01-14 22:14:00.000,2004-01-14 22:14:00,22,2,14,1,0,0,0,28.0,54,1
336,2567825,node-D5,clusterfilesystem,clusterfilesystem.not_served,1074100162,1,ClusterFileSystem: ServerFileSystem domain root_domain is no longer served by node node-160,E9,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,2,system_failure,HPC_2k,2004-01-14 22:39:22.000,2004-01-14 22:39:22,22,2,14,1,0,0,0,1522.0,55,1
13,2568643,node-70,action,start,1074119817,1,clusterAddMember  (command 1902),E8,clusterAddMember  (command <*>),0,normal,HPC_2k,2004-01-15 04:06:57.000,2004-01-15 04:06:57,4,3,15,1,0,0,1,19655.0,56,1
337,2568742,node-D4,clusterfilesystem,clusterfilesystem.not_served,1074120046,1,ClusterFileSystem: ServerFileSystem domain root3_domain is no longer served by node node-128,E9,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,2,system_failure,HPC_2k,2004-01-15 04:10:46.000,2004-01-15 04:10:46,4,3,15,1,0,0,1,229.0,57,1
1457,2569061,Interconnect-0N03,switch_module,error,1074120426,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 04:17:06.000,2004-01-15 04:17:06,4,3,15,1,0,0,1,380.0,58,1
1458,2569549,Interconnect-0N03,switch_module,error,1074121227,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 04:30:27.000,2004-01-15 04:30:27,4,3,15,1,0,0,1,801.0,59,1
338,2569870,node-D7,clusterfilesystem,clusterfilesystem.not_served,1074121737,1,ClusterFileSystem: ServerFileSystem domain root9_domain is no longer served by node node-224,E9,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,2,system_failure,HPC_2k,2004-01-15 04:38:57.000,2004-01-15 04:38:57,4,3,15,1,0,0,1,510.0,60,1
339,2570007,node-D7,clusterfilesystem,clusterfilesystem.not_served,1074121911,1,ClusterFileSystem: ServerFileSystem domain root10_domain is no longer served by node node-224,E9,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,2,system_failure,HPC_2k,2004-01-15 04:41:51.000,2004-01-15 04:41:51,4,3,15,1,0,0,1,174.0,61,1
1459,2570021,node-5,action,error,1074121927,1,risBoot (command 1903) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,E37,risBoot (command <*>) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,4,network_anomaly,HPC_2k,2004-01-15 04:42:07.000,2004-01-15 04:42:07,4,3,15,1,0,0,1,16.0,62,1
1460,2570091,Interconnect-0N01,switch_module,error,1074122028,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 04:43:48.000,2004-01-15 04:43:48,4,3,15,1,0,0,1,101.0,63,1
14,2570772,node-124,action,start,1074123150,1,clusterAddMember  (command 1900),E8,clusterAddMember  (command <*>),0,normal,HPC_2k,2004-01-15 05:02:30.000,2004-01-15 05:02:30,5,3,15,1,0,0,1,1122.0,64,1
1461,2570813,Interconnect-1N01,switch_module,error,1074123216,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 05:03:36.000,2004-01-15 05:03:36,5,3,15,1,0,0,1,66.0,65,1
340,2571489,node-D3,clusterfilesystem,clusterfilesystem.not_served,1074124407,1,ClusterFileSystem: ServerFileSystem domain root28_domain is no longer served by node node-96,E9,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,2,system_failure,HPC_2k,2004-01-15 05:23:27.000,2004-01-15 05:23:27,5,3,15,1,0,0,1,1191.0,66,1
15,2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),E36,risBoot  (command <*>),0,normal,HPC_2k,2004-01-15 05:39:31.000,2004-01-15 05:39:31,5,3,15,1,0,0,1,964.0,67,1
341,2572034,node-D0,clusterfilesystem,clusterfilesystem.not_served,1074125608,1,ClusterFileSystem: ServerFileSystem domain root30_domain is no longer served by node node-0,E9,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,2,system_failure,HPC_2k,2004-01-15 05:43:28.000,2004-01-15 05:43:28,5,3,15,1,0,0,1,237.0,68,1
1462,2572181,Interconnect-0N01,switch_module,error,1074125925,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 05:48:45.000,2004-01-15 05:48:45,5,3,15,1,0,0,1,317.0,69,1
16,2572286,node-17,action,start,1074126278,1,bootGenvmunix  (command 1903),E6,bootGenvmunix  (command <*>),0,normal,HPC_2k,2004-01-15 05:54:38.000,2004-01-15 05:54:38,5,3,15,1,0,0,1,353.0,70,1
1463,2572865,Interconnect-1N00,switch_module,error,1074129389,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 06:46:29.000,2004-01-15 06:46:29,6,3,15,1,0,0,1,3111.0,71,1
1464,2572925,Interconnect-1N02,switch_module,error,1074129669,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 06:51:09.000,2004-01-15 06:51:09,6,3,15,1,0,0,1,280.0,72,1
342,2572991,node-D1,clusterfilesystem,clusterfilesystem.not_served,1074129956,1,ClusterFileSystem: ServerFileSystem domain root26_domain is no longer served by node node-57,E9,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,2,system_failure,HPC_2k,2004-01-15 06:55:56.000,2004-01-15 06:55:56,6,3,15,1,0,0,1,287.0,73,1
1465,2573009,Interconnect-0N00,switch_module,error,1074130036,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 06:57:16.000,2004-01-15 06:57:16,6,3,15,1,0,0,1,80.0,74,1
1466,2573041,Interconnect-0N00,switch_module,error,1074130207,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 07:00:07.000,2004-01-15 07:00:07,7,3,15,1,0,0,0,171.0,75,1
1910,2573188,node-129,unix.hw,net.niff.up,1074131255,1,NIFF: node node-129 has detected an available network connection on network 10.128.0.0 via interface ee0,E29,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0,0,normal,HPC_2k,2004-01-15 07:17:35.000,2004-01-15 07:17:35,7,3,15,1,0,0,0,1048.0,76,1
1911,2573624,node-148,unix.hw,net.niff.up,1074131743,1,NIFF: node node-148 has detected an available network connection on network 5.5.226.0 via interface alt0,E28,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0,0,normal,HPC_2k,2004-01-15 07:25:43.000,2004-01-15 07:25:43,7,3,15,1,0,0,0,488.0,77,1
1467,2573682,Interconnect-0N02,switch_module,error,1074131794,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 07:26:34.000,2004-01-15 07:26:34,7,3,15,1,0,0,0,51.0,78,1
1468,2573870,Interconnect-1N02,switch_module,error,1074131950,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 07:29:10.000,2004-01-15 07:29:10,7,3,15,1,0,0,0,156.0,79,1
1469,2574049,Interconnect-1N02,switch_module,error,1074132111,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 07:31:51.000,2004-01-15 07:31:51,7,3,15,1,0,0,0,161.0,80,1
1470,2574588,Interconnect-1N03,switch_module,error,1074137477,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 09:01:17.000,2004-01-15 09:01:17,9,3,15,1,0,1,0,5366.0,81,1
1471,2575083,Interconnect-1N01,switch_module,error,1074161541,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 15:42:21.000,2004-01-15 15:42:21,15,3,15,1,0,1,0,24064.0,82,1
1472,2575089,Interconnect-1N01,switch_module,error,1074162647,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 16:00:47.000,2004-01-15 16:00:47,16,3,15,1,0,1,0,1106.0,83,1
1473,2575104,Interconnect-1N01,switch_module,error,1074165830,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 16:53:50.000,2004-01-15 16:53:50,16,3,15,1,0,1,0,3183.0,84,1
1474,2575213,Interconnect-0N02,switch_module,error,1074175913,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 19:41:53.000,2004-01-15 19:41:53,19,3,15,1,0,0,0,10083.0,85,1
1475,2575239,Interconnect-1N02,switch_module,error,1074175929,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 19:42:09.000,2004-01-15 19:42:09,19,3,15,1,0,0,0,16.0,86,1
1476,2575308,Interconnect-1N02,switch_module,error,1074175999,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 19:43:19.000,2004-01-15 19:43:19,19,3,15,1,0,0,0,70.0,87,1
17,2575909,node-162,action,start,1074178193,1,boot  (command 1911),E4,boot  (command <*>),0,normal,HPC_2k,2004-01-15 20:19:53.000,2004-01-15 20:19:53,20,3,15,1,0,0,0,2194.0,88,1
18,2576195,node-181,action,start,1074178628,1,boot  (command 1910),E4,boot  (command <*>),0,normal,HPC_2k,2004-01-15 20:27:08.000,2004-01-15 20:27:08,20,3,15,1,0,0,0,435.0,89,2
1477,2576243,Interconnect-0N02,switch_module,error,1074178679,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 20:27:59.000,2004-01-15 20:27:59,20,3,15,1,0,0,0,51.0,90,2
1912,2576312,node-24,unix.hw,net.niff.up,1074178812,1,NIFF: node node-24 has detected an available network connection on network 10.128.0.0 via interface ee0,E29,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0,0,normal,HPC_2k,2004-01-15 20:30:12.000,2004-01-15 20:30:12,20,3,15,1,0,0,0,133.0,91,1
1913,2576662,node-232,unix.hw,net.niff.up,1074179408,1,NIFF: node node-232 has detected an available network connection on network 10.128.0.0 via interface ee0,E29,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0,0,normal,HPC_2k,2004-01-15 20:40:08.000,2004-01-15 20:40:08,20,3,15,1,0,0,0,596.0,92,1
1478,2577675,Interconnect-1N02,switch_module,error,1074187413,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 22:53:33.000,2004-01-15 22:53:33,22,3,15,1,0,0,0,8005.0,93,1
1479,2577929,Interconnect-0N01,switch_module,error,1074189714,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-15 23:31:54.000,2004-01-15 23:31:54,23,3,15,1,0,0,0,2301.0,94,1
1480,2579066,Interconnect-1N02,switch_module,error,1074207069,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 04:21:09.000,2004-01-16 04:21:09,4,4,16,1,0,0,1,17355.0,95,1
1481,2579144,Interconnect-1N01,switch_module,error,1074208208,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 04:40:08.000,2004-01-16 04:40:08,4,4,16,1,0,0,1,1139.0,96,1
385,2579921,node-140,node,status,1074216940,1,running,E38,running,0,normal,HPC_2k,2004-01-16 07:05:40.000,2004-01-16 07:05:40,7,4,16,1,0,0,0,8732.0,97,3
386,2579951,node-170,node,status,1074216940,1,running,E38,running,0,normal,HPC_2k,2004-01-16 07:05:40.000,2004-01-16 07:05:40,7,4,16,1,0,0,0,0.0,98,3
387,2580020,node-239,node,status,1074216940,1,running,E38,running,0,normal,HPC_2k,2004-01-16 07:05:40.000,2004-01-16 07:05:40,7,4,16,1,0,0,0,0.0,99,3
1482,2580497,Interconnect-1N01,switch_module,error,1074217133,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 07:08:53.000,2004-01-16 07:08:53,7,4,16,1,0,0,0,193.0,100,1
1483,2580613,Interconnect-0N01,switch_module,error,1074217167,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 07:09:27.000,2004-01-16 07:09:27,7,4,16,1,0,0,0,34.0,101,2
388,2580712,node-100,node,status,1074217199,1,not responding,E32,not responding,0,normal,HPC_2k,2004-01-16 07:09:59.000,2004-01-16 07:09:59,7,4,16,1,0,0,0,32.0,102,2
1484,2580989,Interconnect-1N01,switch_module,error,1074217255,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 07:10:55.000,2004-01-16 07:10:55,7,4,16,1,0,0,0,56.0,103,1
1485,2581234,Interconnect-1N03,switch_module,error,1074217317,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 07:11:57.000,2004-01-16 07:11:57,7,4,16,1,0,0,0,62.0,104,1
1486,2581250,Interconnect-1N03,switch_module,error,1074217320,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 07:12:00.000,2004-01-16 07:12:00,7,4,16,1,0,0,0,3.0,105,2
389,2581412,node-211,node,status,1074217360,1,not responding,E32,not responding,0,normal,HPC_2k,2004-01-16 07:12:40.000,2004-01-16 07:12:40,7,4,16,1,0,0,0,40.0,106,2
1487,2583068,Interconnect-1N03,switch_module,error,1074225629,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 09:30:29.000,2004-01-16 09:30:29,9,4,16,1,0,1,0,8269.0,107,1
1488,2583136,Interconnect-1N03,switch_module,error,1074225798,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 09:33:18.000,2004-01-16 09:33:18,9,4,16,1,0,1,0,169.0,108,1
1489,2583982,Interconnect-1N00,switch_module,error,1074230178,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 10:46:18.000,2004-01-16 10:46:18,10,4,16,1,0,1,0,4380.0,109,1
1490,2584628,Interconnect-0N01,switch_module,error,1074232068,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 11:17:48.000,2004-01-16 11:17:48,11,4,16,1,0,1,0,1890.0,110,1
1491,2584639,Interconnect-0N01,switch_module,error,1074232126,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 11:18:46.000,2004-01-16 11:18:46,11,4,16,1,0,1,0,58.0,111,1
1492,2585028,Interconnect-1N02,switch_module,error,1074233208,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 11:36:48.000,2004-01-16 11:36:48,11,4,16,1,0,1,0,1082.0,112,1
725,2585341,gige7,gige,temperature,1074234092,1,critical,E15,critical,2,system_failure,HPC_2k,2004-01-16 11:51:32.000,2004-01-16 11:51:32,11,4,16,1,0,1,0,884.0,113,1
1493,2585588,Interconnect-0N02,switch_module,error,1074234738,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 12:02:18.000,2004-01-16 12:02:18,12,4,16,1,0,1,0,646.0,114,1
1494,2585665,Interconnect-1N03,switch_module,error,1074234966,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 12:06:06.000,2004-01-16 12:06:06,12,4,16,1,0,1,0,228.0,115,1
1495,2585816,Interconnect-1N03,switch_module,error,1074235394,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 12:13:14.000,2004-01-16 12:13:14,12,4,16,1,0,1,0,428.0,116,1
1496,2586025,Interconnect-1N03,switch_module,error,1074236020,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 12:23:40.000,2004-01-16 12:23:40,12,4,16,1,0,1,0,626.0,117,1
1497,2586061,Interconnect-1N03,switch_module,error,1074236099,1,Linkerror event interval expired,E26,Linkerror event interval expired,0,normal,HPC_2k,2004-01-16 12:24:59.000,2004-01-16 12:24:59,12,4,16,1,0,1,0,79.0,118,1
