LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
14,Jun,15,04:06:18,combo,su(pam_unix),21416.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),1,security_anomaly,Linux_2k,2025-06-15 04:06:18.000,2025-06-15 04:06:18,4,6,15,6,1,0,1,7279.0,13,3
15,Jun,15,04:06:19,combo,su(pam_unix),21416.0,session closed for user cyrus,E101,session closed for user <*>,1,security_anomaly,Linux_2k,2025-06-15 04:06:19.000,2025-06-15 04:06:19,4,6,15,6,1,0,1,1.0,14,3
16,Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1],1,security_anomaly,Linux_2k,2025-06-15 04:06:20.000,2025-06-15 04:06:20,4,6,15,6,1,0,1,1.0,15,3
17,Jun,15,04:12:42,combo,su(pam_unix),22644.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),1,security_anomaly,Linux_2k,2025-06-15 04:12:42.000,2025-06-15 04:12:42,4,6,15,6,1,0,1,382.0,16,2
18,Jun,15,04:12:43,combo,su(pam_unix),22644.0,session closed for user news,E101,session closed for user <*>,1,security_anomaly,Linux_2k,2025-06-15 04:12:43.000,2025-06-15 04:12:43,4,6,15,6,1,0,1,1.0,17,2
38,Jun,15,12:12:34,combo,sshd(pam_unix),23412.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,28791.0,18,20
37,Jun,15,12:12:34,combo,sshd(pam_unix),23412.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,19,20
36,Jun,15,12:12:34,combo,sshd(pam_unix),23403.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,20,20
35,Jun,15,12:12:34,combo,sshd(pam_unix),23407.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,21,20
34,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,22,20
33,Jun,15,12:12:34,combo,sshd(pam_unix),23403.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,23,20
32,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,24,20
31,Jun,15,12:12:34,combo,sshd(pam_unix),23407.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,25,20
29,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,26,20
30,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,27,20
27,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,28,20
19,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,29,20
28,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,30,20
21,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,31,20
22,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,32,20
20,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,33,20
24,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,34,20
25,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,35,20
26,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,36,20
23,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:12:34.000,2025-06-15 12:12:34,12,6,15,6,1,1,0,0.0,37,20
39,Jun,15,12:13:19,combo,sshd(pam_unix),23414.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:13:19.000,2025-06-15 12:13:19,12,6,15,6,1,1,0,45.0,38,4
40,Jun,15,12:13:19,combo,sshd(pam_unix),23414.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:13:19.000,2025-06-15 12:13:19,12,6,15,6,1,1,0,0.0,39,4
41,Jun,15,12:13:20,combo,sshd(pam_unix),23416.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 12:13:20.000,2025-06-15 12:13:20,12,6,15,6,1,1,0,1.0,40,4
42,Jun,15,12:13:20,combo,sshd(pam_unix),23416.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 12:13:20.000,2025-06-15 12:13:20,12,6,15,6,1,1,0,0.0,41,4
48,Jun,15,14:53:32,combo,sshd(pam_unix),23664.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 14:53:32.000,2025-06-15 14:53:32,14,6,15,6,1,1,0,9612.0,42,20
47,Jun,15,14:53:32,combo,sshd(pam_unix),23664.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 14:53:32.000,2025-06-15 14:53:32,14,6,15,6,1,1,0,0.0,43,20
46,Jun,15,14:53:32,combo,sshd(pam_unix),23663.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 14:53:32.000,2025-06-15 14:53:32,14,6,15,6,1,1,0,0.0,44,20
44,Jun,15,14:53:32,combo,sshd(pam_unix),23661.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 14:53:32.000,2025-06-15 14:53:32,14,6,15,6,1,1,0,0.0,45,20
43,Jun,15,14:53:32,combo,sshd(pam_unix),23661.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 14:53:32.000,2025-06-15 14:53:32,14,6,15,6,1,1,0,0.0,46,20
45,Jun,15,14:53:32,combo,sshd(pam_unix),23663.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 14:53:32.000,2025-06-15 14:53:32,14,6,15,6,1,1,0,0.0,47,20
49,Jun,15,14:53:33,combo,sshd(pam_unix),23665.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 14:53:33.000,2025-06-15 14:53:33,14,6,15,6,1,1,0,1.0,48,20
50,Jun,15,14:53:33,combo,sshd(pam_unix),23665.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 14:53:33.000,2025-06-15 14:53:33,14,6,15,6,1,1,0,0.0,49,20
51,Jun,15,14:53:34,combo,sshd(pam_unix),23669.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 14:53:34.000,2025-06-15 14:53:34,14,6,15,6,1,1,0,1.0,50,20
52,Jun,15,14:53:34,combo,sshd(pam_unix),23669.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 14:53:34.000,2025-06-15 14:53:34,14,6,15,6,1,1,0,0.0,51,20
58,Jun,15,14:53:35,combo,sshd(pam_unix),23674.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 14:53:35.000,2025-06-15 14:53:35,14,6,15,6,1,1,0,1.0,52,20
53,Jun,15,14:53:35,combo,sshd(pam_unix),23671.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 14:53:35.000,2025-06-15 14:53:35,14,6,15,6,1,1,0,0.0,53,20
54,Jun,15,14:53:35,combo,sshd(pam_unix),23671.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 14:53:35.000,2025-06-15 14:53:35,14,6,15,6,1,1,0,0.0,54,20
55,Jun,15,14:53:35,combo,sshd(pam_unix),23673.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 14:53:35.000,2025-06-15 14:53:35,14,6,15,6,1,1,0,0.0,55,20
56,Jun,15,14:53:35,combo,sshd(pam_unix),23673.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 14:53:35.000,2025-06-15 14:53:35,14,6,15,6,1,1,0,0.0,56,20
57,Jun,15,14:53:35,combo,sshd(pam_unix),23674.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 14:53:35.000,2025-06-15 14:53:35,14,6,15,6,1,1,0,0.0,57,20
61,Jun,15,14:53:36,combo,sshd(pam_unix),23677.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 14:53:36.000,2025-06-15 14:53:36,14,6,15,6,1,1,0,1.0,58,20
62,Jun,15,14:53:36,combo,sshd(pam_unix),23677.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 14:53:36.000,2025-06-15 14:53:36,14,6,15,6,1,1,0,0.0,59,20
59,Jun,15,14:53:36,combo,sshd(pam_unix),23678.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 14:53:36.000,2025-06-15 14:53:36,14,6,15,6,1,1,0,0.0,60,20
60,Jun,15,14:53:36,combo,sshd(pam_unix),23678.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 14:53:36.000,2025-06-15 14:53:36,14,6,15,6,1,1,0,0.0,61,20
63,Jun,15,20:05:31,combo,sshd(pam_unix),24138.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 20:05:31.000,2025-06-15 20:05:31,20,6,15,6,1,0,0,18715.0,62,10
64,Jun,15,20:05:31,combo,sshd(pam_unix),24138.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 20:05:31.000,2025-06-15 20:05:31,20,6,15,6,1,0,0,0.0,63,10
65,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 20:05:31.000,2025-06-15 20:05:31,20,6,15,6,1,0,0,0.0,64,10
66,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 20:05:31.000,2025-06-15 20:05:31,20,6,15,6,1,0,0,0.0,65,10
67,Jun,15,20:05:31,combo,sshd(pam_unix),24141.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 20:05:31.000,2025-06-15 20:05:31,20,6,15,6,1,0,0,0.0,66,10
68,Jun,15,20:05:31,combo,sshd(pam_unix),24141.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 20:05:31.000,2025-06-15 20:05:31,20,6,15,6,1,0,0,0.0,67,10
69,Jun,15,20:05:31,combo,sshd(pam_unix),24140.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 20:05:31.000,2025-06-15 20:05:31,20,6,15,6,1,0,0,0.0,68,10
70,Jun,15,20:05:31,combo,sshd(pam_unix),24140.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 20:05:31.000,2025-06-15 20:05:31,20,6,15,6,1,0,0,0.0,69,10
71,Jun,15,20:05:31,combo,sshd(pam_unix),24139.0,check pass; user unknown,E27,check pass; user unknown,1,security_anomaly,Linux_2k,2025-06-15 20:05:31.000,2025-06-15 20:05:31,20,6,15,6,1,0,0,0.0,70,10
72,Jun,15,20:05:31,combo,sshd(pam_unix),24139.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,1,security_anomaly,Linux_2k,2025-06-15 20:05:31.000,2025-06-15 20:05:31,20,6,15,6,1,0,0,0.0,71,10
73,Jun,16,04:10:22,combo,su(pam_unix),25178.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),1,security_anomaly,Linux_2k,2025-06-16 04:10:22.000,2025-06-16 04:10:22,4,0,16,6,0,0,1,29091.0,72,3
74,Jun,16,04:10:23,combo,su(pam_unix),25178.0,session closed for user cyrus,E101,session closed for user <*>,1,security_anomaly,Linux_2k,2025-06-16 04:10:23.000,2025-06-16 04:10:23,4,0,16,6,0,0,1,1.0,73,3
75,Jun,16,04:10:24,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1],1,security_anomaly,Linux_2k,2025-06-16 04:10:24.000,2025-06-16 04:10:24,4,0,16,6,0,0,1,1.0,74,3
76,Jun,16,04:16:17,combo,su(pam_unix),25548.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),1,security_anomaly,Linux_2k,2025-06-16 04:16:17.000,2025-06-16 04:16:17,4,0,16,6,0,0,1,353.0,75,2
77,Jun,16,04:16:18,combo,su(pam_unix),25548.0,session closed for user news,E101,session closed for user <*>,1,security_anomaly,Linux_2k,2025-06-16 04:16:18.000,2025-06-16 04:16:18,4,0,16,6,0,0,1,1.0,76,2
78,Jun,17,04:03:33,combo,su(pam_unix),27953.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),1,security_anomaly,Linux_2k,2025-06-17 04:03:33.000,2025-06-17 04:03:33,4,1,17,6,0,0,1,85635.0,77,3
79,Jun,17,04:03:34,combo,su(pam_unix),27953.0,session closed for user cyrus,E101,session closed for user <*>,1,security_anomaly,Linux_2k,2025-06-17 04:03:34.000,2025-06-17 04:03:34,4,1,17,6,0,0,1,1.0,78,3
80,Jun,17,04:03:36,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1],1,security_anomaly,Linux_2k,2025-06-17 04:03:36.000,2025-06-17 04:03:36,4,1,17,6,0,0,1,2.0,79,3
81,Jun,17,04:09:43,combo,su(pam_unix),29190.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),1,security_anomaly,Linux_2k,2025-06-17 04:09:43.000,2025-06-17 04:09:43,4,1,17,6,0,0,1,367.0,80,2
82,Jun,17,04:09:45,combo,su(pam_unix),29190.0,session closed for user news,E101,session closed for user <*>,1,security_anomaly,Linux_2k,2025-06-17 04:09:45.000,2025-06-17 04:09:45,4,1,17,6,0,0,1,2.0,81,2
83,Jun,17,07:07:00,combo,ftpd,29504.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,1,security_anomaly,Linux_2k,2025-06-17 07:07:00.000,2025-06-17 07:07:00,7,1,17,6,0,0,0,10635.0,82,8
84,Jun,17,07:07:00,combo,ftpd,29508.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,1,security_anomaly,Linux_2k,2025-06-17 07:07:00.000,2025-06-17 07:07:00,7,1,17,6,0,0,0,0.0,83,8
85,Jun,17,07:07:00,combo,ftpd,29507.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,1,security_anomaly,Linux_2k,2025-06-17 07:07:00.000,2025-06-17 07:07:00,7,1,17,6,0,0,0,0.0,84,8
86,Jun,17,07:07:00,combo,ftpd,29505.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,1,security_anomaly,Linux_2k,2025-06-17 07:07:00.000,2025-06-17 07:07:00,7,1,17,6,0,0,0,0.0,85,8
87,Jun,17,07:07:00,combo,ftpd,29506.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,1,security_anomaly,Linux_2k,2025-06-17 07:07:00.000,2025-06-17 07:07:00,7,1,17,6,0,0,0,0.0,86,8
88,Jun,17,07:07:00,combo,ftpd,29509.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,1,security_anomaly,Linux_2k,2025-06-17 07:07:00.000,2025-06-17 07:07:00,7,1,17,6,0,0,0,0.0,87,8
