LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate,AnomalyLabel,AnomalyLabelName,Source,timestamp_normalized,timestamp_dt,hour,day_of_week,day_of_month,month,is_weekend,is_business_hours,is_night,time_diff_seconds,log_index,logs_last_10
11,Jul,1,09:12:20,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,<*>::setAwdlAutoMode Resuming AWDL,0,normal,Mac_2k,2025-07-01 09:12:20.000,2025-07-01 09:12:20,9,1,1,7,0,1,0,463.0,10,2
12,Jul,1,09:12:21,calvisitor-10-105-160-95,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,0,normal,Mac_2k,2025-07-01 09:12:21.000,2025-07-01 09:12:21,9,1,1,7,0,1,0,1.0,11,2
13,Jul,1,09:18:16,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",E140,"ARPT: <*>.<*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",0,normal,Mac_2k,2025-07-01 09:18:16.000,2025-07-01 09:18:16,9,1,1,7,0,1,0,355.0,12,1
15,Jul,1,09:19:03,authorMacBook-Pro,configd,53,,"setting hostname to ""authorMacBook-Pro.local""",E311,"setting hostname to ""<*>""",0,normal,Mac_2k,2025-07-01 09:19:03.000,2025-07-01 09:19:03,9,1,1,7,0,1,0,47.0,13,3
14,Jul,1,09:19:03,calvisitor-10-105-160-95,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,E120,AppleCamIn::systemWakeCall - messageType = <*>,0,normal,Mac_2k,2025-07-01 09:19:03.000,2025-07-01 09:19:03,9,1,1,7,0,1,0,0.0,14,3
16,Jul,1,09:19:13,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:19:13.000,2025-07-01 09:19:13,9,1,1,7,0,1,0,10.0,15,3
17,Jul,1,09:21:57,authorMacBook-Pro,corecaptured,31174,,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,E175,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,0,normal,Mac_2k,2025-07-01 09:21:57.000,2025-07-01 09:21:57,9,1,1,7,0,1,0,164.0,16,2
18,Jul,1,09:21:58,calvisitor-10-105-160-95,com.apple.WebKit.WebContent,25654,,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,E13,[<*>:<*>:<*>.<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,0,normal,Mac_2k,2025-07-01 09:21:58.000,2025-07-01 09:21:58,9,1,1,7,0,1,0,1.0,17,2
19,Jul,1,09:22:02,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:22:02.000,2025-07-01 09:22:02,9,1,1,7,0,1,0,4.0,18,2
20,Jul,1,09:22:25,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,<*>::setAwdlAutoMode Resuming AWDL,0,normal,Mac_2k,2025-07-01 09:22:25.000,2025-07-01 09:22:25,9,1,1,7,0,1,0,23.0,19,2
21,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,E109,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,0,normal,Mac_2k,2025-07-01 09:23:26.000,2025-07-01 09:23:26,9,1,1,7,0,1,0,61.0,20,2
22,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,E252,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,0,normal,Mac_2k,2025-07-01 09:23:26.000,2025-07-01 09:23:26,9,1,1,7,0,1,0,0.0,21,2
23,Jul,1,09:24:13,calvisitor-10-105-160-95,kernel,0,,"PM response took 2010 ms (54, powerd)",E288,"PM response took <*> ms (<*>, powerd)",0,normal,Mac_2k,2025-07-01 09:24:13.000,2025-07-01 09:24:13,9,1,1,7,0,1,0,47.0,22,1
24,Jul,1,09:25:21,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:25:21.000,2025-07-01 09:25:21,9,1,1,7,0,1,0,68.0,23,3
25,Jul,1,09:25:45,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64",E143,"ARPT: <*>.<*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>:<*>:<*><*>:<*>, last RSSI <*>",0,normal,Mac_2k,2025-07-01 09:25:45.000,2025-07-01 09:25:45,9,1,1,7,0,1,0,24.0,24,3
26,Jul,1,09:25:59,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621145.554555: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",E135,"ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,",1,security_anomaly,Mac_2k,2025-07-01 09:25:59.000,2025-07-01 09:25:59,9,1,1,7,0,1,0,14.0,25,3
27,Jul,1,09:26:41,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096",E149,"ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",0,normal,Mac_2k,2025-07-01 09:26:41.000,2025-07-01 09:26:41,9,1,1,7,0,1,0,42.0,26,3
28,Jul,1,09:26:43,calvisitor-10-105-160-95,networkd,195,,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,E276,nw_<*>_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,0,normal,Mac_2k,2025-07-01 09:26:43.000,2025-07-01 09:26:43,9,1,1,7,0,1,0,2.0,27,3
29,Jul,1,09:26:47,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:26:47.000,2025-07-01 09:26:47,9,1,1,7,0,1,0,4.0,28,3
30,Jul,1,09:27:01,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:27:01.000,2025-07-01 09:27:01,9,1,1,7,0,1,0,14.0,29,2
31,Jul,1,09:27:06,calvisitor-10-105-160-95,kernel,0,,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",E61,"<*>::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",0,normal,Mac_2k,2025-07-01 09:27:06.000,2025-07-01 09:27:06,9,1,1,7,0,1,0,5.0,30,2
32,Jul,1,09:28:41,authorMacBook-Pro,netbiosd,31198,,"network_reachability_changed : network is not reachable, netbiosd is shutting down",E272,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1,hardware_issue,Mac_2k,2025-07-01 09:28:41.000,2025-07-01 09:28:41,9,1,1,7,0,1,0,95.0,31,4
33,Jul,1,09:28:41,authorMacBook-Pro,corecaptured,31206,,CCFile::captureLogRun() Exiting CCFile::captureLogRun,E173,CCFile::captureLogRun() Exiting CCFile::captureLogRun,0,normal,Mac_2k,2025-07-01 09:28:41.000,2025-07-01 09:28:41,9,1,1,7,0,1,0,0.0,32,4
34,Jul,1,09:28:50,calvisitor-10-105-160-95,com.apple.CDScheduler,258,,Thermal pressure state: 1 Memory pressure state: 0,E323,Thermal pressure state: <*> Memory pressure state: <*>,0,normal,Mac_2k,2025-07-01 09:28:50.000,2025-07-01 09:28:50,9,1,1,7,0,1,0,9.0,33,4
35,Jul,1,09:28:53,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2039 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:28:53.000,2025-07-01 09:28:53,9,1,1,7,0,1,0,3.0,34,4
36,Jul,1,09:29:02,calvisitor-10-105-160-95,sandboxd,129,[31211],com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder,E52,<*>(<*>) deny network-outbound /private/var/run/mDNSResponder,1,security_anomaly,Mac_2k,2025-07-01 09:29:02.000,2025-07-01 09:29:02,9,1,1,7,0,1,0,9.0,35,3
37,Jul,1,09:29:14,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,<*>::setAwdlAutoMode Resuming AWDL,0,normal,Mac_2k,2025-07-01 09:29:14.000,2025-07-01 09:29:14,9,1,1,7,0,1,0,12.0,36,3
38,Jul,1,09:29:25,calvisitor-10-105-160-95,kernel,0,,ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,E142,ARPT: <*>.<*>: wl0: MDNS: IPV6 Addr: <*>,0,normal,Mac_2k,2025-07-01 09:29:25.000,2025-07-01 09:29:25,9,1,1,7,0,1,0,11.0,37,3
39,Jul,1,09:31:48,authorMacBook-Pro,kernel,0,,AirPort: Link Up on en0,E112,AirPort: Link Up on en0,0,normal,Mac_2k,2025-07-01 09:31:48.000,2025-07-01 09:31:48,9,1,1,7,0,1,0,143.0,38,2
40,Jul,1,09:31:53,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438274 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:31:53.000,2025-07-01 09:31:53,9,1,1,7,0,1,0,5.0,39,2
41,Jul,1,09:32:03,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1849 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:32:03.000,2025-07-01 09:32:03,9,1,1,7,0,1,0,10.0,40,3
42,Jul,1,09:32:13,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,E300,Sandbox: <*>(<*>) deny(<*>) network-outbound /private/var/run/mDNSResponder,1,security_anomaly,Mac_2k,2025-07-01 09:32:13.000,2025-07-01 09:32:13,9,1,1,7,0,1,0,10.0,41,3
43,Jul,1,09:32:28,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),E260,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),0,normal,Mac_2k,2025-07-01 09:32:28.000,2025-07-01 09:32:28,9,1,1,7,0,1,0,15.0,42,3
46,Jul,1,09:33:13,authorMacBook-Pro,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,E120,AppleCamIn::systemWakeCall - messageType = <*>,0,normal,Mac_2k,2025-07-01 09:33:13.000,2025-07-01 09:33:13,9,1,1,7,0,1,0,45.0,43,4
45,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Up on awdl0,E111,AirPort: Link Up on awdl0,0,normal,Mac_2k,2025-07-01 09:33:13.000,2025-07-01 09:33:13,9,1,1,7,0,1,0,0.0,44,4
44,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,ARPT: 621342.242614: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],E125,ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[enable],0,normal,Mac_2k,2025-07-01 09:33:13.000,2025-07-01 09:33:13,9,1,1,7,0,1,0,0.0,45,4
47,Jul,1,09:33:58,calvisitor-10-105-160-95,kernel,0,,ARPT: 621389.379319: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,E142,ARPT: <*>.<*>: wl0: MDNS: IPV6 Addr: <*>,0,normal,Mac_2k,2025-07-01 09:33:58.000,2025-07-01 09:33:58,9,1,1,7,0,1,0,45.0,46,4
48,Jul,1,09:34:42,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,E122,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,0,normal,Mac_2k,2025-07-01 09:34:42.000,2025-07-01 09:34:42,9,1,1,7,0,1,0,44.0,47,2
49,Jul,1,09:34:52,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438095 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:34:52.000,2025-07-01 09:34:52,9,1,1,7,0,1,0,10.0,48,2
50,Jul,1,09:35:27,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface en0 (2607:F140:6000:0008:C6B3:01FF:FECD:467F),E261,mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>),0,normal,Mac_2k,2025-07-01 09:35:27.000,2025-07-01 09:35:27,9,1,1,7,0,1,0,35.0,49,1
51,Jul,1,09:36:19,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,E55,<*>::<*> - retries = <*>,1,security_anomaly,Mac_2k,2025-07-01 09:36:19.000,2025-07-01 09:36:19,9,1,1,7,0,1,0,52.0,50,1
52,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621490.858770: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2119064372, Ack 3325040593, Win size 278",E150,"ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",0,normal,Mac_2k,2025-07-01 09:39:57.000,2025-07-01 09:39:57,9,1,1,7,0,1,0,218.0,51,4
53,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,ARPT: 621490.890645: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],E128,ARPT: <*>.<*>: AirPort_<*>::syncPowerState: WWEN[enabled],0,normal,Mac_2k,2025-07-01 09:39:57.000,2025-07-01 09:39:57,9,1,1,7,0,1,0,0.0,52,4
54,Jul,1,09:39:57,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,E252,IOThunderboltSwitch<<*>>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,0,normal,Mac_2k,2025-07-01 09:39:57.000,2025-07-01 09:39:57,9,1,1,7,0,1,0,0.0,53,4
55,Jul,1,09:39:57,authorMacBook-Pro,kernel,0,,ARPT: 621492.770239: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],E124,ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[disable],0,normal,Mac_2k,2025-07-01 09:39:57.000,2025-07-01 09:39:57,9,1,1,7,0,1,0,0.0,54,4
56,Jul,1,09:41:34,calvisitor-10-105-160-95,kernel,0,,en0::IO80211Interface::postMessage bssid changed,E56,<*>::<*>::postMessage bssid changed,0,normal,Mac_2k,2025-07-01 09:41:34.000,2025-07-01 09:41:34,9,1,1,7,0,1,0,97.0,55,7
57,Jul,1,09:41:34,authorMacBook-Pro,kernel,0,,ARPT: 621542.378462: ARPT: Wake Reason: Wake on Scan offload,E131,ARPT: <*>.<*>: ARPT: Wake Reason: Wake on Scan offload,0,normal,Mac_2k,2025-07-01 09:41:34.000,2025-07-01 09:41:34,9,1,1,7,0,1,0,0.0,56,7
58,Jul,1,09:41:34,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,0,normal,Mac_2k,2025-07-01 09:41:34.000,2025-07-01 09:41:34,9,1,1,7,0,1,0,0.0,57,7
59,Jul,1,09:41:44,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1268 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:41:44.000,2025-07-01 09:41:44,9,1,1,7,0,1,0,10.0,58,7
60,Jul,1,09:41:44,calvisitor-10-105-160-95,com.apple.cts,43,,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12119 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:41:44.000,2025-07-01 09:41:44,9,1,1,7,0,1,0,0.0,59,7
62,Jul,1,09:41:54,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 437673 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:41:54.000,2025-07-01 09:41:54,9,1,1,7,0,1,0,10.0,60,7
61,Jul,1,09:41:54,calvisitor-10-105-160-95,com.apple.CDScheduler,258,,Thermal pressure state: 0 Memory pressure state: 0,E323,Thermal pressure state: <*> Memory pressure state: <*>,0,normal,Mac_2k,2025-07-01 09:41:54.000,2025-07-01 09:41:54,9,1,1,7,0,1,0,0.0,61,7
63,Jul,1,09:42:16,calvisitor-10-105-160-95,com.apple.cts,43,,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 12087 seconds.  Ignoring.",E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.",0,normal,Mac_2k,2025-07-01 09:42:16.000,2025-07-01 09:42:16,9,1,1,7,0,1,0,22.0,62,3
64,Jul,1,09:42:23,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,E54,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,1,security_anomaly,Mac_2k,2025-07-01 09:42:23.000,2025-07-01 09:42:23,9,1,1,7,0,1,0,7.0,63,3
65,Jul,1,09:42:54,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,<*>::setAwdlAutoMode Resuming AWDL,0,normal,Mac_2k,2025-07-01 09:42:54.000,2025-07-01 09:42:54,9,1,1,7,0,1,0,31.0,64,3
66,Jul,1,09:43:22,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_RegisterInterface: Frequent transitions for interface en0 (FE80:0000:0000:0000:C6B3:01FF:FECD:467F),E263,mDNS_RegisterInterface: Frequent transitions for interface en0 (<*>),0,normal,Mac_2k,2025-07-01 09:43:22.000,2025-07-01 09:43:22,9,1,1,7,0,1,0,28.0,65,1
67,Jul,1,09:44:23,authorMacBook-Pro,kernel,0,,AppleCamIn::wakeEventHandlerThread,E121,AppleCamIn::wakeEventHandlerThread,0,normal,Mac_2k,2025-07-01 09:44:23.000,2025-07-01 09:44:23,9,1,1,7,0,1,0,61.0,66,3
68,Jul,1,09:44:26,authorMacBook-Pro,kernel,0,,AirPort: Link Up on en0,E112,AirPort: Link Up on en0,0,normal,Mac_2k,2025-07-01 09:44:26.000,2025-07-01 09:44:26,9,1,1,7,0,1,0,3.0,67,3
69,Jul,1,09:44:32,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,E323,Thermal pressure state: <*> Memory pressure state: <*>,0,normal,Mac_2k,2025-07-01 09:44:32.000,2025-07-01 09:44:32,9,1,1,7,0,1,0,6.0,68,3
70,Jul,1,09:45:08,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621686.164365: wl0: setup_keepalive: Local port: 62614, Remote port: 443",E146,"ARPT: <*>.<*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>",0,normal,Mac_2k,2025-07-01 09:45:08.000,2025-07-01 09:45:08,9,1,1,7,0,1,0,36.0,69,3
71,Jul,1,09:45:46,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,0,normal,Mac_2k,2025-07-01 09:45:46.000,2025-07-01 09:45:46,9,1,1,7,0,1,0,38.0,70,3
72,Jul,1,09:45:52,calvisitor-10-105-160-95,networkd,195,,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,E276,nw_<*>_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,0,normal,Mac_2k,2025-07-01 09:45:52.000,2025-07-01 09:45:52,9,1,1,7,0,1,0,6.0,71,3
73,Jul,1,09:59:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 621738.114066: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],E125,ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[enable],0,normal,Mac_2k,2025-07-01 09:59:26.000,2025-07-01 09:59:26,9,1,1,7,0,1,0,814.0,72,1
